Maximum Load;10,21;kN
Extension at Maximum Load;1,10;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);52323,43;MPa
Tensile strain at Maximum Load;0,824;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00824;mm/mm
Tensile stress at Break (Standard);400,00758;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;72,85;0,00001;2,85;0,00000
0,10000;0,00;71,65;0,00001;2,81;0,00000
0,20000;0,00;73,50;0,00001;2,88;0,00001
0,30000;0,00;91,46;0,00001;3,58;0,00004
0,40000;0,01;159,32;0,00000;6,24;0,00008
0,50000;0,02;193,99;0,00001;7,60;0,00012
0,60000;0,02;242,40;0,00001;9,49;0,00015
0,70000;0,02;274,57;0,00001;10,75;0,00017
0,80000;0,03;323,06;0,00001;12,65;0,00020
0,90000;0,03;357,16;0,00001;13,99;0,00023
1,00000;0,03;374,85;0,00000;14,68;0,00025
1,10000;0,04;418,36;0,00001;16,39;0,00028
1,20000;0,04;465,24;0,00000;18,22;0,00030
1,30000;0,04;480,90;0,00001;18,84;0,00033
1,40000;0,05;513,20;0,00000;20,10;0,00035
1,50000;0,05;553,94;0,00001;21,70;0,00038
1,60000;0,05;581,40;0,00001;22,77;0,00040
1,70000;0,06;619,31;0,00000;24,26;0,00043
1,80000;0,06;651,84;0,00000;25,53;0,00045
1,90000;0,06;680,92;0,00000;26,67;0,00048
2,00000;0,07;728,00;0,00000;28,52;0,00050
2,10000;0,07;770,46;0,00000;30,18;0,00053
2,20000;0,07;780,89;0,00000;30,59;0,00055
2,30000;0,08;807,15;0,00000;31,62;0,00058
2,40000;0,08;855,97;0,00000;33,53;0,00060
2,50000;0,08;892,97;0,00000;34,98;0,00063
2,60000;0,09;924,18;0,00000;36,20;0,00065
2,70000;0,09;955,47;0,00000;37,43;0,00068
2,80000;0,09;991,88;0,00001;38,85;0,00070
2,90000;0,10;1023,54;0,00000;40,09;0,00073
3,00000;0,10;1065,84;0,00000;41,75;0,00075
3,10000;0,10;1082,45;0,00000;42,40;0,00078
3,20000;0,11;1113,27;0,00000;43,61;0,00080
3,30000;0,11;1159,30;0,00000;45,41;0,00083
3,40000;0,11;1194,77;0,00000;46,80;0,00085
3,50000;0,12;1212,93;0,00000;47,51;0,00088
3,60000;0,12;1250,80;0,00000;48,99;0,00090
3,70000;0,12;1297,72;0,00000;50,83;0,00093
3,80000;0,13;1326,42;0,00000;51,96;0,00095
3,90000;0,13;1362,67;0,00000;53,38;0,00098
4,00000;0,13;1387,75;0,00000;54,36;0,00100
4,10000;0,14;1409,51;0,00000;55,21;0,00103
4,20000;0,14;1454,84;0,00001;56,99;0,00105
4,30000;0,14;1494,74;0,00000;58,55;0,00108
4,40000;0,15;1520,45;0,00000;59,56;0,00110
4,50000;0,15;1559,01;0,00000;61,07;0,00113
4,60000;0,15;1600,60;0,00001;62,69;0,00115
4,70000;0,16;1620,82;0,00000;63,49;0,00118
4,80000;0,16;1651,30;0,00000;64,68;0,00120
4,90000;0,16;1692,66;0,00000;66,30;0,00123
5,00000;0,17;1715,44;0,00001;67,19;0,00125
5,10000;0,17;1756,71;0,00000;68,81;0,00128
5,20000;0,17;1793,16;0,00000;70,24;0,00130
5,30000;0,18;1822,10;0,00000;71,37;0,00133
5,40000;0,18;1853,79;0,00000;72,61;0,00135
5,50000;0,18;1898,84;0,00000;74,38;0,00138
5,60000;0,19;1920,27;0,00000;75,22;0,00140
5,70000;0,19;1959,75;0,00000;76,76;0,00143
5,80000;0,19;1995,99;0,00000;78,18;0,00145
