
 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  1394.6959     3     1         3  45     1   2.685E+00
  1  1855.5254     3     1         1  45     1   0.000E+00
  1  2050.8438     3     1         1  44     1   0.000E+00
  1  2221.7476    36    34       251  67    11   2.598E+03
  1  2734.4585    35    40       212  68    12   3.531E+03
  1  2810.7549    31     7        75  53     3 123.106E+00
  1  3573.7175     5    30        94  70     5   2.571E+03
  1  3686.6360    61    13       101  52    11 268.118E+00
  1  3686.6360     4    11        34  54     3 116.313E+00
  1  3915.5249     1    20        73  57     1 307.052E+00
  1  4004.0283     1    30        95  59     2 557.493E+00
  1  4055.9102    40    38       113  61    20   1.281E+03
  1  4101.6875     1    18       105  62     2 520.146E+00
  1  4101.6875     3     8        30  53     2 113.171E+00
  1  4306.1616    42    39       115  64    20   2.132E+03
  1  4443.4951     2    59       315  87     2 113.862E+03
  1  4541.1543    33    15        53  56    11 290.451E+00
  1  4589.9839     5    32       205  76     3  17.018E+03
  1  4687.6431    14    21        82  63     6 790.550E+00
  1  4736.4727     1    51       281  85     1 105.501E+03
  1  4794.4580     6    68       721  76     3  36.909E+03
  1  4834.1318     1    11        50  58     1 158.158E+00
  1  4882.9614    36    49       235  69    14   5.044E+03
  1  4931.7910     1    33       156  65     2   1.699E+03
  1  4931.7910    41    41       136  67    13   2.274E+03
  1  4995.8799    32    32       136  61    17   1.121E+03
  1  4995.8799     3    69       912  93     2 401.211E+03
  1  5029.4507     1    71       381  80     1  38.064E+03
  1  5032.5024    34    33       108  62    13   1.098E+03
  1  5087.4360     5    20        79  61     4 568.382E+00
  1  5127.1099    22    66       429  80    10  59.460E+03
  1  5136.2651     8    40       130  74     4  10.547E+03
  1  5200.3540     4     1         4  46     1   3.558E+00
  1  5273.5986    32    13        94  57     6 244.959E+00
  1  5298.0132     4    15        47  57     2 191.528E+00
  1  5298.0132     2    51       407  76     2  14.173E+03
  1  5322.4282    27    18        64  55    12 245.106E+00
  1  5322.4282    40    26       149  59    14   1.016E+03
  1  5374.3096     1    69       435  76     1  22.992E+03
  1  5423.1392     4     8        26  57     3 126.262E+00
  1  5423.1392     6    48       430  83     3  68.853E+03
  1  5423.1392    33    18        76  55     9 317.669E+00
  1  5444.5024     5     5        18  48     3  27.686E+00
  1  5517.7466    26    17        89  56     6 250.715E+00
  1  5517.7466     5    49       176  86     4 159.137E+03
  1  5517.7466     5    42       196  68     4   4.499E+03
  1  5569.6279    20    54       267  76    11  48.444E+03
  1  5615.4063     1   122       830  88     1 298.232E+03
  1  5615.4063     1    21        92  55     1 304.917E+00
  1  5624.5615    33    45       463  69    14   8.505E+03
  1  5624.5615    42    67       577  76    17  58.431E+03
  1  5713.0654     5    20        77  61     3 580.227E+00
  1  5713.0654     6    79       584  84     3 231.476E+03
  1  5740.5317     2    62       352  74     2  17.084E+03
  1  5771.0503    20    44       273  83     7 119.269E+03
  1  5771.0503     8    70       660  89     5 345.358E+03
  1  5771.0503     2    48       281  68     2   5.860E+03
  1  5859.5537    14    27       116  68     7   3.806E+03
  1  5862.6055     4     8        34  56     2 143.502E+00
  1  5862.6055    36    56       297  71    13  15.333E+03
  1  5862.6055    11    21        63  59     6 388.761E+00
  1  5862.6055     9     6        18  50     4  44.933E+00
  1  5932.7983     1     8        32  55     1  95.827E+00
  1  5932.7983     5    58       532  82     3  59.145E+03
  1  5966.3691    16    76       709 100     6  16.942E+06
  1  5966.3691     4     2         6  50     2  13.073E+00
  1  5966.3691    19    95       853  90     6 599.696E+03
  1  6009.0947     1    53       282  73     1  10.452E+03
  1  6009.0947    28    32       130  65    12   1.983E+03
  1  6009.0947    10    23        67  58     6 504.911E+00
  1  6103.7021    36    51       454  72    12  17.844E+03
  1  6103.7021     6    45       182  75     4   8.233E+03
  1  6103.7021     6    34       113  69     4   2.911E+03
  1  6103.7021     6    66       526  88     3 322.029E+03
  1  6152.5317    11     7        22  50     4  50.857E+00
  1  6152.5317    38    99       910  85    13 532.341E+03
  1  6152.5317     1    30        85  61     2 695.354E+00
  1  6210.5166     1    30       117  65     1   1.596E+03
  1  6210.5166     1    48       233  70     1   3.582E+03
  1  6210.5166     5    27       141  70     3   4.935E+03
  1  6259.3467    51    35       137  62    18   2.086E+03
  1  6259.3467     9    88       674  81     4 199.689E+03
  1  6259.3467     2    71       371  81     2 112.010E+03
  1  6347.8501     4    66       513  78     3  71.184E+03
  1  6347.8501     4    84       481  78     3  36.849E+03
  1  6347.8501    36   105      1028  87    14 406.111E+03
  1  6347.8501     4    32       152  74     3   9.075E+03
  1  6396.6797     1     6        20  53     1  57.822E+00
  1  6396.6797     5    62      1000  89     2 536.223E+03
  1  6396.6797    99    97       533  72    40  20.322E+03
  1  6396.6797     1     6        24  53     1  55.992E+00
  1  6454.6650     1    25       135  66     1   1.112E+03
  1  6454.6650    10    67       517  79     4  55.748E+03
  1  6454.6650    18    99       726  84     9 209.197E+03
  1  6503.4941    35    35       276  67    12   5.144E+03
  1  6503.4941    16   151      1258  83     7 275.054E+03
  1  6503.4941     1    38       142  80     1  38.750E+03
  1  6503.4941    25    78       709  83     9 169.292E+03
  1  6591.9985    13    73       774  81     6 116.519E+03
  1  6591.9985     4    10        36  56     3 151.487E+00
  1  6591.9985     2    32       109  64     2   1.530E+03
  1  6640.8276     9    47       248  76     5  16.173E+03
  1  6640.8276    41    52       297  75    17  20.768E+03
  1  6640.8276     6    68      1067  92     3 597.463E+03
  1  6640.8276    20    34       111  68     8   4.986E+03
  1  6692.7095    53    64       352  70    23  10.845E+03
  1  6692.7095    28    40       208  65    11   4.185E+03
  1  6692.7095    30    84       750  84    11 261.679E+03
  1  6692.7095     4     7        36  50     2  61.512E+00
