
 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  1815.8513    44     1      4164  44     1  15.158E+06
  1  1831.1106     5     3        11  48     2  16.153E+00
  1  2053.8958     1     6        23  52     1  48.611E+00
  1  2099.6733     3     2         8  48     1   9.246E+00
  1  2807.7031    30    62       376  71    10  22.481E+03
  1  2859.5845     4     1         4  48     1   6.390E+00
  1  3134.2510    22    18        66  53     8 342.972E+00
  1  3183.0806    28    31       132  60     9   1.251E+03
  1  3271.5842     1     5        20  51     1  40.669E+00
  1  3466.9026    29    12       117  53     6 249.781E+00
  1  3491.3176    52     2        54  46     2  37.394E+00
  1  3613.3916     1     9        34  58     1 142.604E+00
  1  3711.0508     1     8        31  54     1 108.211E+00
  1  3769.0359    32    23        99  57    11 631.899E+00
  1  3769.0359    11    32       102  58     4 936.235E+00
  1  3955.1987     2    18        81  56     2 229.386E+00
  1  3955.1987    17    37       120  64     7   3.465E+03
  1  4013.1841     4     4        22  49     2  38.182E+00
  1  4208.5024     6    12        37  56     3 151.357E+00
  1  4492.3247     1     7        33  53     1  51.834E+00
  1  4501.4800     4    48       221  73     3   7.889E+03
  1  4565.5693    10    74       489  90     4 526.139E+03
  1  4565.5693   141    48       241  60    33   1.922E+03
  1  4617.4507    15    25        76  61     7 887.219E+00
  1  4882.9614    11    33        98  69     7   2.697E+03
  1  4882.9614    29    92       697  81    14 138.678E+03
  1  4931.7910     1    10        31  57     2 137.958E+00
  1  4940.9468    11    37       126  63     6 881.637E+00
  1  5005.0352     1    10        30  55     1 164.783E+00
  1  5005.0352     9    36       119  67     5   3.444E+03
  1  5005.0352    10    70       333  78     4  65.917E+03
  1  5005.0352     4     7        19  56     2 113.783E+00
  1  5078.2798     4     2         4  49     2  10.778E+00
  1  5175.9390     4    63       296  87     2 266.243E+03
  1  5178.9907     8    48       170  63     5   1.580E+03
  1  5178.9907     2    50       143  78     2  17.773E+03
  1  5227.8208     3    73       512  86     2 176.246E+03
  1  5273.5986     4     1         4  47     1   8.122E+00
  1  5322.4282    11    56       285  75     7  21.015E+03
  1  5322.4282    15    16        65  58     6 215.063E+00
  1  5322.4282     1     2         9  48     1   8.834E+00
  1  5322.4282    10    26       167  74     5   9.422E+03
  1  5371.2578    43    31       102  63    14   1.298E+03
  1  5371.2578    87    95       521  76    32  26.904E+03
  1  5420.0874    11    54       329  74     7  15.957E+03
  1  5420.0874     1    63       240  80     2  44.071E+03
  1  5468.9170    16    46       199  78    11  17.573E+03
  1  5566.5762     1   131       594  85     2 237.052E+03
  1  5566.5762    82   128       704  84    31 264.241E+03
  1  5575.7319     9    70       333  80     5  48.979E+03
  1  5639.8208     8    28       143  67     5   2.655E+03
  1  5639.8208     6    60       564  93     3   1.436E+06
  1  5673.3911    96    89       578  89    32 448.744E+03
  1  5673.3911    26    39       193  60     7   1.080E+03
  1  5716.1172     7    80       346  84     4 114.370E+03
  1  5716.1172     2    35        98  63     2 994.625E+00
  1  5716.1172    33    87       788  81     9 212.286E+03
  1  5716.1172     2   118       651  80     2 175.826E+03
  1  5761.8945     6   115       727  90     3 545.485E+03
  1  5761.8945    15    43       175  71     9   6.066E+03
  1  5835.1392     1    43       135  66     1   3.802E+03
  1  5917.5391     5    72       346  83     3  89.233E+03
  1  5917.5391     6    95       564  91     3 534.909E+03
  1  5917.5391     2    66       592  82     2 225.208E+03
  1  5960.2646     4     2         4  47     2   8.712E+00
  1  6006.0430    10    55       377  85     4 127.968E+03
  1  6054.8721     5    56       761  89     2 413.557E+03
  1  6054.8721    13    27       167  67     6   4.665E+03
  1  6079.2871    13    56       331  72     5  16.338E+03
  1  6079.2871    11    64       269  80     7  46.092E+03
  1  6079.2871    28    28       421  57     6   1.566E+03
  1  6079.2871    22    35       118  59     9 944.073E+00
  1  6152.5317    10    39       256  67     6   2.842E+03
  1  6152.5317    28    31       111  59     9 519.882E+00
  1  6152.5317    10    89       588  90     4 925.078E+03
  1  6152.5317     9    32       105  59     6 763.650E+00
  1  6250.1909    11    58       225  70     7   7.215E+03
  1  6250.1909    18    42       134  70     8   8.945E+03
  1  6250.1909    13    59       402  79     6  62.389E+03
  1  6250.1909     5    39       144  72     3  15.455E+03
  1  6299.0205     8    83       346  85     4 128.946E+03
  1  6299.0205     5    38       247  71     3  10.289E+03
  1  6299.0205    14    31        90  61     7 763.869E+00
  1  6357.0059     1    51       157  75     2  10.214E+03
  1  6357.0059     9    27        87  58     4   1.031E+03
  1  6357.0059     9    24        69  63     5 908.338E+00
  1  6357.0059     6    44       267  67     3   6.702E+03
  1  6445.5093     3     2         8  46     1   5.713E+00
  1  6445.5093     6    43       163  67     3   2.492E+03
  1  6445.5093     1    21        87  66     1 833.339E+00
  1  6445.5093    10    39       113  70     7   2.363E+03
  1  6518.7539     4     2         4  47     2   9.124E+00
  1  6518.7539     2    32        98  72     2   5.791E+03
  1  6518.7539     1    35       143  78     1  21.778E+03
  1  6518.7539     8    19       105  59     5 412.687E+00
  1  6591.9985    37   145      1087  87    15 827.197E+03
  1  6591.9985     9     7        21  54     4  73.405E+00
  1  6591.9985    26    39       403  64     8   3.268E+03
  1  6643.8794    31    37       100  62    19   1.185E+03
  1  6643.8794     9   133       722  93     4   1.174E+06
  1  6643.8794    24   172       762  78    12  79.182E+03
  1  6643.8794     2    58       329  74     2   9.383E+03
  1  6714.0723     6   146       568  79     4  95.905E+03
  1  6714.0723    31    51       708  82    11 234.061E+03
  1  6714.0723     7    24        79  58     4 505.149E+00
  1  6714.0723     9    29        74  67     6   2.270E+03
  1  6787.3169    23    24        98  63     9   2.441E+03
  1  6787.3169    23     1        23  48     1  10.972E+00
