C:\MistrasGroup\AEwin for USB Version E5.30\EXP3004.DTA
MISTRAS-2001 (r) Location Version 
Version E5.30

Tue May 09 13:42:11 2023

 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  2200.3845     9    27       167  62     5   1.235E+03
  1  2298.0437     8    16        78  58     5 274.427E+00
  1  3231.9102    20    18        70  58     7 236.479E+00
  1  3231.9102    15    18        50  62     7 661.998E+00
  1  3271.5842     1    23        77  65     1   1.032E+03
  1  3970.4583     1    31       114  66     2   1.800E+03
  1  4110.8433     2    18        61  58     2 291.871E+00
  1  4110.8433     6     7        42  50     3  50.129E+00
  1  4174.9321     4     9        29  58     3 151.858E+00
  1  4297.0063     8     9        29  54     5 107.772E+00
  1  4306.1616    11    46       165  72     5  13.535E+03
  1  4345.8359     5    59       215  71     4   8.239E+03
  1  4519.7915     1    47       397  88     1 210.864E+03
  1  4712.0581     8     7        21  52     3  45.293E+00
  1  4907.3765     8    64       364  76     5  15.637E+03
  1  5005.0352    10    74       717  80     6  51.365E+03
  1  5038.6060     4    37       138  73     3   7.592E+03
  1  5127.1099    13    47       156  73     7   7.685E+03
  1  5133.2134     9    10        36  57     4 190.828E+00
  1  5133.2134     1     2         9  48     2  10.818E+00
  1  5182.0425     8    33       125  59     5 897.030E+00
  1  5182.0425    10    50       396  68     4   9.293E+03
  1  5224.7690    59    16       471  57     3   1.310E+03
  1  5322.4282     1    25        90  63     1   1.040E+03
  1  5322.4282     6     9        55  52     2  89.269E+00
  1  5420.0874     1    23        72  60     1 551.091E+00
  1  5420.0874     2    53       317  76     2  21.715E+03
  1  5420.0874     9    22        69  59     5 390.486E+00
  1  5569.6279     4    13        41  55     3 130.705E+00
  1  5594.0430     8    20       152  60     5 498.434E+00
  1  5673.3911     6    63       438  77     4  31.445E+03
  1  5716.1172     9    13        55  55     3 130.191E+00
  1  5728.3242     5    58       239  69     3   5.042E+03
  1  5728.3242    10    35       215  72     6  13.960E+03
  1  5786.3091     4    13        39  58     3 280.808E+00
  1  5819.8799     1    36       129  66     1   2.152E+03
  1  5819.8799     1    48       830  81     1  63.938E+03
  1  5819.8799     6    89      1082  90     4 552.063E+03
  1  5819.8799    28     7        64  53     2 111.628E+00
  1  5868.7095     5     9        42  56     3 121.129E+00
  1  5957.2129     4     4        19  48     2  20.509E+00
  1  5966.3691     2   170      1242  90     2 553.945E+03
  1  6006.0430     4    17        69  62     3 512.917E+00
  1  6006.0430     5     9        46  52     4  78.039E+00
  1  6021.3018    38    84      1183  86    11 371.702E+03
  1  6021.3018    18    83      1206  84     6 301.197E+03
  1  6021.3018    19    83      1105  92     7 764.832E+03
  1  6106.7539     3    88       691  79     2  96.603E+03
  1  6106.7539     2    39       187  77     2  22.351E+03
  1  6152.5317    14    75       747  81     5 178.945E+03
  1  6250.1909    29    83       489  79    12 110.821E+03
  1  6250.1909     1    30       101  66     2   1.664E+03
  1  6250.1909    15    33        95  61    10 898.535E+00
  1  6308.1758    10    27       170  67     6   2.380E+03
  1  6308.1758    14    10        32  52     5  69.802E+00
  1  6308.1758     5    62       762  78     3  40.269E+03
  1  6308.1758     7   131      1336  91     3   1.370E+06
  1  6347.8501     8    93       918  91     4 502.814E+03
  1  6347.8501     8    29       105  62     5 762.221E+00
  1  6347.8501    24    41       133  58    12 651.684E+00
  1  6347.8501    14    76       685  84     7 218.802E+03
  1  6445.5093    21    93       907  81     8 202.301E+03
  1  6445.5093     3    82       975  81     2 152.561E+03
  1  6445.5093     1    45       220  69     2   4.691E+03
  1  6494.3389    35    33       144  64    12   2.347E+03
  1  6494.3389     2    70      1085  88     2 371.466E+03
  1  6494.3389    10    26       170  67     6   2.821E+03
  1  6546.2202     9    37       217  70     6   5.972E+03
  1  6591.9985    18     6        37  48     3  48.611E+00
  1  6591.9985    13    28       119  62     8 833.743E+00
  1  6601.1538     9   133       916  83     4 355.470E+03
  1  6601.1538     3    75       723  79     2  81.902E+03
  1  6601.1538     7    31       127  72     4   5.905E+03
  1  6601.1538    37    39       129  60    15   1.804E+03
  1  6665.2422     5    43       290  76     4  19.811E+03
  1  6665.2422     1   208      1179  87     1 340.584E+03
  1  6665.2422    23    45       219  63    13   2.024E+03
  1  6738.4868    18    20        58  58     8 387.043E+00
  1  6738.4868     1    28       192  73     1   5.731E+03
  1  6738.4868    29    48       332  70    12  12.518E+03
  1  6738.4868     2    13        43  56     2 188.386E+00
  1  6793.4204    18    72       424  79    11  62.607E+03
  1  6793.4204     1     6        33  56     1  66.858E+00
  1  6793.4204    18   113      1724  92     6   1.313E+06
  1  6836.1460    18    11       182  54     3 328.165E+00
  1  6836.1460    23    60       409  70     8   8.814E+03
  1  6836.1460    10    35       115  65     6   1.840E+03
  1  6836.1460    10    51       276  67     5   3.875E+03
  1  6933.8052    12     9        18  51     7  48.409E+00
  1  6933.8052     1    41       143  72     1   7.946E+03
  1  6933.8052     1    50       210  73     2   9.598E+03
  1  6933.8052   145   157      1622  83    41 336.767E+03
  1  6982.6353    15    91       853  85     6 178.866E+03
  1  6982.6353    11    59       320  73     6  10.278E+03
  1  6982.6353     1    74       899  86     1 172.986E+03
  1  6982.6353     4     8        30  51     2  91.481E+00
  1  7055.8794     5    59       255  84     3  92.416E+03
  1  7055.8794    20    47       170  66     8   3.106E+03
  1  7055.8794    12    33       184  65     7   2.886E+03
  1  7055.8794     6    90       809  91     3 999.322E+03
  1  7104.7090     4    67       274  87     3 132.846E+03
  1  7104.7090    55    87      1276  86    19 643.380E+03
  1  7104.7090   419   117       671  78    78  86.563E+03
  1  7104.7090    23    36       137  63    12   1.286E+03
  1  7202.3682     2    69       522  80     2  79.717E+03
  1  7202.3682    13    64      1323  87     8 323.520E+03
  1  7202.3682    18    40       277  67     9   2.398E+03
  1  7202.3682     4    22        68  60     3 389.669E+00
  1  7235.9390     6   129      1260  90     4 977.069E+03
  1  7235.9390   107   113      1267  88    35 648.665E+03
  1  7235.9390    28    59       398  68    12  13.019E+03
  1  7235.9390     1    56       402  78     1  23.022E+03
  1  7327.4941     7    29       103  57     5 444.769E+00
  1  7327.4941    46    97      1405  88    14 953.342E+03
  1  7327.4941     9     5        41  49     2  65.909E+00
  1  7327.4941    24    47       213  66    10   4.460E+03
  1  7382.4272    23   109      1787  97     8   3.718E+06
  1  7382.4272     1    41       222  82     1  27.216E+03
  1  7382.4272    15     1        16  47     1  10.667E+00
  1  7449.5684     9    95       872  85     5 188.018E+03
  1  7449.5684    20    71       427  81     8  69.640E+03
  1  7449.5684    10   140      1709  95     4   3.195E+06
  1  7449.5684     7   118       662  86     5 131.537E+03
  1  7519.7607     7    64       465  81     5  49.320E+03
  1  7519.7607    36    50       420  67    13   7.624E+03
  1  7519.7607     7   121      1562  94     3   1.826E+06
  1  7519.7607     5    67       254  76     3  14.095E+03
  1  7568.5908    10    42       344  76     4  28.809E+03
  1  7568.5908     2     7        26  52     2  56.067E+00
  1  7568.5908     4    28       130  66     2   2.927E+03
  1  7568.5908     6    79      1289  95     3   2.800E+06
  1  7666.2500    87   130       782  84    29 382.232E+03
  1  7666.2500    12    78      1847  91     5   1.871E+06
  1  7666.2500    86    72       659  85     9 109.160E+03
  1  7666.2500    11     3        12  48     2  15.120E+00
  1  7715.0791   824   158      2096  86    76 752.218E+03
  1  7715.0791    13    81       565  81     5  89.340E+03
  1  7715.0791     8    60       523  79     5  45.551E+03
  1  7715.0791     2    27       113  61     2 636.535E+00
