Maximum Load;12,94;kN
Extension at Maximum Load;1,51;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);54865,22;MPa
Tensile strain at Maximum Load;1,050;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,01050;mm/mm
Tensile stress at Break (Standard);500,00281;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;69,64;0,00001;2,69;0,00000
0,10000;0,00;70,08;0,00001;2,71;0,00000
0,20000;0,00;71,48;0,00000;2,76;0,00001
0,30000;0,01;99,08;0,00000;3,83;0,00004
0,40000;0,01;159,85;0,00001;6,18;0,00008
0,50000;0,02;194,40;0,00001;7,51;0,00011
0,60000;0,02;235,57;0,00001;9,10;0,00013
0,70000;0,02;268,22;0,00001;10,37;0,00016
0,80000;0,03;315,79;0,00001;12,20;0,00018
0,90000;0,03;349,92;0,00001;13,52;0,00021
1,00000;0,03;371,20;0,00001;14,35;0,00023
1,10000;0,04;407,67;0,00001;15,76;0,00025
1,20000;0,04;451,14;0,00001;17,44;0,00028
1,30000;0,04;477,08;0,00001;18,44;0,00030
1,40000;0,05;502,68;0,00001;19,43;0,00032
1,50000;0,05;538,71;0,00001;20,82;0,00035
1,60000;0,05;570,64;0,00001;22,05;0,00037
1,70000;0,06;608,80;0,00001;23,53;0,00039
1,80000;0,06;637,33;0,00001;24,63;0,00042
1,90000;0,06;667,81;0,00001;25,81;0,00044
2,00000;0,07;710,47;0,00001;27,46;0,00046
2,10000;0,07;753,79;0,00001;29,13;0,00049
2,20000;0,07;777,16;0,00001;30,03;0,00051
2,30000;0,08;792,66;0,00001;30,63;0,00053
2,40000;0,08;829,71;0,00000;32,07;0,00056
2,50000;0,08;874,78;0,00002;33,81;0,00058
2,60000;0,09;909,17;0,00001;35,14;0,00060
2,70000;0,09;938,38;0,00001;36,27;0,00062
2,80000;0,09;971,55;0,00001;37,55;0,00065
2,90000;0,10;1004,82;0,00001;38,83;0,00067
3,00000;0,10;1042,91;0,00001;40,31;0,00069
3,10000;0,10;1075,26;0,00001;41,56;0,00072
3,20000;0,11;1090,77;0,00001;42,16;0,00074
3,30000;0,11;1132,64;0,00001;43,77;0,00076
3,40000;0,11;1174,13;0,00001;45,38;0,00079
3,50000;0,12;1200,47;0,00001;46,40;0,00081
3,60000;0,12;1225,02;0,00001;47,34;0,00083
3,70000;0,12;1267,25;0,00001;48,98;0,00086
3,80000;0,13;1305,15;0,00001;50,44;0,00088
3,90000;0,13;1340,59;0,00001;51,81;0,00090
4,00000;0,13;1368,62;0,00001;52,89;0,00092
4,10000;0,14;1390,01;0,00001;53,72;0,00095
4,20000;0,14;1421,49;0,00001;54,94;0,00097
4,30000;0,14;1466,33;0,00001;56,67;0,00099
4,40000;0,15;1498,54;0,00001;57,91;0,00102
4,50000;0,15;1528,56;0,00001;59,07;0,00104
4,60000;0,15;1565,87;0,00001;60,52;0,00106
4,70000;0,16;1602,74;0,00001;61,94;0,00109
4,80000;0,16;1624,82;0,00001;62,80;0,00111
4,90000;0,16;1656,00;0,00001;64,00;0,00113
5,00000;0,17;1694,11;0,00001;65,47;0,00116
5,10000;0,17;1721,18;0,00001;66,52;0,00118
5,20000;0,17;1761,20;0,00001;68,07;0,00120
5,30000;0,18;1793,93;0,00001;69,33;0,00123
5,40000;0,18;1823,00;0,00001;70,45;0,00125
5,50000;0,18;1855,78;0,00001;71,72;0,00127
5,60000;0,19;1896,89;0,00001;73,31;0,00130
5,70000;0,19;1919,05;0,00001;74,17;0,00132
5,80000;0,19;1960,30;0,00001;75,76;0,00134
5,90000;0,20;1992,82;0,00001;77,02;0,00137
6,00000;0,20;2017,06;0,00001;77,95;0,00139
6,10000;0,20;2046,27;0,00001;79,08;0,00141
6,20000;0,21;2081,93;0,00001;80,46;0,00143
6,30000;0,21;2124,53;0,00001;82,11;0,00146
6,40000;0,21;2155,38;0,00001;83,30;0,00148
6,50000;0,22;2187,13;0,00001;84,53;0,00150
6,60000;0,22;2216,47;0,00001;85,66;0,00153
6,70000;0,22;2247,13;0,00000;86,85;0,00155
6,80000;0,23;2283,25;0,00001;88,24;0,00157
6,90000;0,23;2315,32;0,00001;89,48;0,00160
7,00000;0,23;2339,73;0,00001;90,42;0,00162
7,10000;0,24;2383,76;0,00002;92,13;0,00164
7,20000;0,24;2424,89;0,00001;93,72;0,00167
7,30000;0,24;2443,14;0,00001;94,42;0,00169
7,40000;0,25;2469,89;0,00001;95,45;0,00171
7,50000;0,25;2512,65;0,00001;97,11;0,00174
7,60000;0,25;2543,04;0,00001;98,28;0,00176
7,70000;0,26;2583,42;0,00001;99,84;0,00178
7,80000;0,26;2612,30;0,00001;100,96;0,00181
7,90000;0,26;2633,16;0,00001;101,76;0,00183
8,00000;0,27;2666,73;0,00001;103,06;0,00185
8,10000;0,27;2711,00;0,00001;104,77;0,00187
8,20000;0,27;2741,58;0,00001;105,95;0,00190
8,30000;0,28;2763,61;0,00001;106,81;0,00192
8,40000;0,28;2802,39;0,00001;108,30;0,00194
8,50000;0,28;2841,06;0,00001;109,80;0,00197
8,60000;0,29;2868,47;0,00001;110,86;0,00199
8,70000;0,29;2893,30;0,00001;111,82;0,00201
8,80000;0,29;2931,17;0,00001;113,28;0,00204
8,90000;0,30;2961,10;0,00000;114,44;0,00206
9,00000;0,30;3002,03;0,00001;116,02;0,00208
9,10000;0,30;3036,76;0,00001;117,36;0,00211
9,20000;0,31;3049,95;0,00001;117,87;0,00213
9,30000;0,31;3082,77;0,00001;119,14;0,00215
9,40000;0,31;3130,59;0,00001;120,99;0,00218
9,50000;0,32;3161,80;0,00000;122,20;0,00220
9,60000;0,32;3189,69;0,00001;123,27;0,00222
9,70000;0,32;3222,74;0,00001;124,55;0,00225
9,80000;0,33;3254,96;0,00001;125,80;0,00227
9,90000;0,33;3283,63;0,00000;126,90;0,00229
10,00000;0,33;3319,81;0,00000;128,30;0,00231
10,10000;0,34;3352,78;0,00001;129,58;0,00234
10,20000;0,34;3375,72;0,00000;130,46;0,00236
10,30000;0,34;3421,48;0,00000;132,23;0,00238
10,40000;0,35;3455,53;0,00001;133,55;0,00241
10,50000;0,35;3474,55;0,00000;134,28;0,00243
10,60000;0,35;3505,95;0,00001;135,50;0,00245
10,70000;0,36;3547,92;0,00000;137,12;0,00248
10,80000;0,36;3572,69;0,00000;138,07;0,00250
10,90000;0,36;3608,58;0,00000;139,46;0,00252
11,00000;0,37;3644,05;0,00000;140,83;0,00255
11,10000;0,37;3667,70;0,00000;141,75;0,00257
11,20000;0,37;3697,98;0,00000;142,92;0,00259
11,30000;0,38;3740,25;0,00000;144,55;0,00262
11,40000;0,38;3773,78;0,00000;145,85;0,00264
11,50000;0,38;3799,29;0,00000;146,83;0,00266
11,60000;0,39;3836,97;0,00000;148,29;0,00269
11,70000;0,39;3866,19;0,00000;149,42;0,00271
11,80000;0,39;3886,32;0,00000;150,20;0,00273
11,90000;0,40;3923,91;0,00000;151,65;0,00275
12,00000;0,40;3964,88;0,00000;153,23;0,00278
12,10000;0,40;3987,00;0,00000;154,09;0,00280
12,20000;0,41;4025,74;0,00000;155,58;0,00282
12,30000;0,41;4066,40;0,00000;157,16;0,00285
12,40000;0,41;4090,62;0,00000;158,09;0,00287
12,50000;0,42;4116,55;0,00000;159,09;0,00289
12,60000;0,42;4151,63;0,00000;160,45;0,00292
12,70000;0,42;4179,82;0,00000;161,54;0,00294
12,80000;0,43;4209,56;0,00000;162,69;0,00296
12,90000;0,43;4255,21;0,00000;164,45;0,00299
13,00000;0,43;4282,30;0,00000;165,50;0,00301
13,10000;0,44;4304,31;0,00000;166,35;0,00303
13,20000;0,44;4343,86;0,00000;167,88;0,00306
13,30000;0,44;4384,81;0,00000;169,46;0,00308
13,40000;0,45;4404,75;0,00000;170,23;0,00310
13,50000;0,45;4436,11;-0,00001;171,44;0,00313
13,60000;0,45;4469,41;0,00000;172,73;0,00315
13,70000;0,46;4495,27;0,00000;173,73;0,00317
13,80000;0,46;4531,99;0,00000;175,15;0,00320
13,90000;0,46;4568,75;0,00000;176,57;0,00322
14,00000;0,47;4593,87;0,00000;177,54;0,00324
14,10000;0,47;4625,48;0,00000;178,76;0,00326
14,20000;0,47;4672,56;0,00000;180,58;0,00329
14,30000;0,48;4699,46;0,00000;181,62;0,00331
14,40000;0,48;4715,71;0,00000;182,25;0,00333
14,50000;0,48;4748,95;0,00000;183,53;0,00336
14,60000;0,49;4784,10;0,00000;184,89;0,00338
14,70000;0,49;4815,18;0,00000;186,09;0,00340
14,80000;0,49;4854,40;0,00000;187,61;0,00343
14,90000;0,50;4883,71;0,00000;188,74;0,00345
15,00000;0,50;4907,63;0,00000;189,67;0,00347
15,10000;0,50;4946,89;0,00000;191,18;0,00350
15,20000;0,51;4984,38;0,00000;192,63;0,00352
15,30000;0,51;5008,43;0,00000;193,56;0,00354
15,40000;0,51;5033,08;0,00000;194,52;0,00357
15,50000;0,52;5070,73;0,00000;195,97;0,00359
15,60000;0,52;5102,14;0,00000;197,18;0,00361
15,70000;0,52;5131,46;0,00000;198,32;0,00364
15,80000;0,53;5163,35;0,00000;199,55;0,00366
15,90000;0,53;5195,12;0,00000;200,78;0,00368
16,00000;0,53;5229,16;0,00000;202,09;0,00370
16,10000;0,54;5266,69;0,00000;203,54;0,00373
16,20000;0,54;5295,16;-0,00001;204,64;0,00375
16,30000;0,54;5316,80;0,00000;205,48;0,00377
16,40000;0,55;5345,50;0,00000;206,59;0,00380
16,50000;0,55;5382,35;-0,00001;208,01;0,00382
16,60000;0,55;5418,37;0,00000;209,41;0,00384
16,70000;0,56;5449,52;0,00000;210,61;0,00387
16,80000;0,56;5481,17;0,00000;211,83;0,00389
16,90000;0,56;5511,97;-0,00001;213,02;0,00391
17,00000;0,57;5542,13;0,00000;214,19;0,00394
17,10000;0,57;5571,66;0,00000;215,33;0,00396
17,20000;0,57;5603,99;-0,00001;216,58;0,00398
17,30000;0,58;5630,66;0,00000;217,61;0,00401
17,40000;0,58;5661,10;0,00000;218,79;0,00403
17,50000;0,58;5697,07;0,00000;220,18;0,00405
17,60000;0,59;5729,48;0,00000;221,43;0,00407
17,70000;0,59;5753,34;-0,00001;222,35;0,00410
17,80000;0,59;5787,27;-0,00001;223,66;0,00412
17,90000;0,60;5822,54;0,00000;225,03;0,00414
18,00000;0,60;5851,01;0,00000;226,13;0,00417
18,10000;0,60;5881,71;0,00000;227,31;0,00419
18,20000;0,61;5915,97;0,00000;228,64;0,00421
18,30000;0,61;5941,07;0,00000;229,61;0,00424
18,40000;0,61;5963,23;0,00000;230,46;0,00426
18,50000;0,62;6002,85;0,00000;231,99;0,00428
18,60000;0,62;6035,01;0,00000;233,24;0,00431
18,70000;0,62;6063,99;0,00000;234,36;0,00433
18,80000;0,63;6097,42;0,00000;235,65;0,00435
18,90000;0,63;6128,72;0,00000;236,86;0,00438
19,00000;0,63;6153,60;0,00000;237,82;0,00440
19,10000;0,64;6179,42;0,00000;238,82;0,00442
19,20000;0,64;6219,65;0,00000;240,37;0,00445
19,30000;0,64;6245,03;0,00000;241,35;0,00447
19,40000;0,65;6271,52;0,00000;242,38;0,00449
19,50000;0,65;6309,39;0,00000;243,84;0,00451
19,60000;0,65;6341,44;0,00000;245,08;0,00454
