Maximum Load;13,86;kN
Extension at Maximum Load;1,88;mm
Modulus (E-modulus);11377,04;MPa
Modulus (Automatic Young's);12588,69;MPa
Tensile strain at Maximum Load;5,370;%
Tensile strain at Yield (Offset       0,2 %);0,02442;mm/mm
Tensile stress at Yield (Offset       0,2 %);286,31132;MPa
Tensile strain at Break (Standard);0,05370;mm/mm
Tensile stress at Break (Standard);500,00200;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;82,61;-0,00023;2,98;0,00000
0,10000;0,00;81,72;-0,00027;2,95;0,00001
0,20000;0,00;84,98;-0,00026;3,07;0,00005
0,30000;0,01;133,92;-0,00039;4,83;0,00017
0,40000;0,01;189,16;-0,00031;6,83;0,00033
0,50000;0,02;242,18;-0,00008;8,74;0,00045
0,60000;0,02;277,42;0,00004;10,01;0,00056
0,70000;0,02;331,56;-0,00003;11,96;0,00066
0,80000;0,03;368,02;0,00006;13,28;0,00075
0,90000;0,03;388,65;-0,00014;14,02;0,00085
1,00000;0,03;438,17;-0,00025;15,81;0,00095
1,10000;0,04;480,96;-0,00025;17,35;0,00104
1,20000;0,04;497,12;-0,00022;17,94;0,00114
1,30000;0,04;537,51;-0,00019;19,39;0,00124
1,40000;0,05;575,05;-0,00036;20,75;0,00133
1,50000;0,05;604,87;-0,00043;21,82;0,00142
1,60000;0,05;643,12;-0,00034;23,20;0,00152
1,70000;0,06;674,79;-0,00033;24,35;0,00161
1,80000;0,06;706,95;-0,00024;25,51;0,00171
1,90000;0,06;757,95;-0,00007;27,35;0,00181
2,00000;0,07;791,13;-0,00021;28,55;0,00190
2,10000;0,07;799,37;-0,00024;28,84;0,00199
2,20000;0,07;841,55;-0,00010;30,36;0,00209
2,30000;0,08;887,63;-0,00034;32,03;0,00219
2,40000;0,08;917,70;-0,00010;33,11;0,00228
2,50000;0,08;951,75;-0,00022;34,34;0,00238
2,60000;0,09;988,02;-0,00025;35,65;0,00248
2,70000;0,09;1014,82;-0,00021;36,62;0,00256
2,80000;0,09;1057,03;-0,00018;38,14;0,00266
2,90000;0,10;1092,05;-0,00024;39,40;0,00276
3,00000;0,10;1103,44;-0,00014;39,81;0,00285
3,10000;0,10;1148,32;-0,00015;41,43;0,00295
3,20000;0,11;1195,23;-0,00021;43,13;0,00305
3,30000;0,11;1215,39;-0,00010;43,85;0,00314
3,40000;0,11;1240,38;-0,00029;44,75;0,00323
3,50000;0,12;1289,62;-0,00020;46,53;0,00333
3,60000;0,12;1319,15;-0,00023;47,60;0,00342
