Maximum Load;12,85;kN
Extension at Maximum Load;1,61;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);12435,75;MPa
Tensile strain at Maximum Load;4,597;%
Tensile strain at Yield (Offset       0,2 %);0,02630;mm/mm
Tensile stress at Yield (Offset       0,2 %);302,88159;MPa
Tensile strain at Break (Standard);0,04597;mm/mm
Tensile stress at Break (Standard);500,01462;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;23,49;-0,00027;0,91;0,00000
0,10000;0,00;24,59;-0,00018;0,96;0,00002
0,20000;0,00;26,89;0,00000;1,05;0,00005
0,30000;0,01;48,92;0,00027;1,90;0,00015
0,40000;0,01;87,02;-0,00033;3,39;0,00031
0,50000;0,02;145,97;-0,00002;5,68;0,00044
0,60000;0,02;178,71;-0,00036;6,95;0,00055
0,70000;0,02;210,52;0,00011;8,19;0,00066
0,80000;0,03;246,15;0,00018;9,58;0,00076
0,90000;0,03;270,67;-0,00002;10,53;0,00085
1,00000;0,03;313,24;0,00040;12,19;0,00095
1,10000;0,04;350,39;0,00004;13,63;0,00104
1,20000;0,04;375,73;-0,00014;14,62;0,00114
1,30000;0,04;401,84;-0,00039;15,63;0,00124
1,40000;0,05;443,56;0,00028;17,26;0,00133
1,50000;0,05;480,76;-0,00027;18,70;0,00142
1,60000;0,05;495,94;-0,00008;19,30;0,00152
1,70000;0,06;527,80;0,00002;20,54;0,00161
1,80000;0,06;563,95;0,00016;21,94;0,00171
1,90000;0,06;591,99;-0,00012;23,03;0,00181
2,00000;0,07;628,64;0,00015;24,46;0,00190
2,10000;0,07;654,46;0,00000;25,46;0,00200
2,20000;0,07;683,88;0,00014;26,61;0,00210
2,30000;0,08;722,19;-0,00004;28,10;0,00219
2,40000;0,08;760,51;0,00000;29,59;0,00228
2,50000;0,08;790,97;-0,00023;30,77;0,00238
2,60000;0,09;800,27;-0,00011;31,14;0,00248
2,70000;0,09;833,69;-0,00006;32,44;0,00257
2,80000;0,09;877,33;-0,00002;34,13;0,00267
2,90000;0,10;910,51;-0,00005;35,42;0,00276
3,00000;0,10;939,07;0,00005;36,54;0,00285
3,10000;0,10;964,18;0,00002;37,51;0,00295
3,20000;0,11;1000,12;-0,00004;38,91;0,00305
3,30000;0,11;1025,80;-0,00003;39,91;0,00314
3,40000;0,11;1064,95;0,00004;41,43;0,00323
3,50000;0,12;1092,96;-0,00006;42,52;0,00333
3,60000;0,12;1104,88;0,00007;42,99;0,00343
