
 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  1327.5552    18     9        36  49     5  74.104E+00
  1  2002.0142     9     8        56  48     2  84.695E+00
  1  2099.6733    15    55       177  72     6  43.337E+03
  1  2124.0884    14    28        88  56     5 986.646E+00
  1  2148.5032    23    31       111  58     8   1.522E+03
  1  2148.5032     9    28        89  56     4 885.279E+00
  1  2343.8215     9     6        55  48     4  64.268E+00
  1  2444.5327    19    14        80  54     5 201.110E+00
  1  2444.5327    23    20       110  58     8 515.505E+00
  1  2542.1917    10    32       111  59     4   1.208E+03
  1  2542.1917     4     3        37  47     2  43.425E+00
  1  2587.9695    10    28        86  57     4 817.708E+00
  1  2661.2141    14     5        58  47     3  66.672E+00
  1  2734.4585    20    44       151  68     7  13.103E+03
  1  2734.4585    19    54       219  76     7  71.054E+03
  1  2758.8733    18    52       171  71     7  24.210E+03
  1  2758.8733    18    30        93  57     7 749.889E+00
  1  2758.8733   201    98       659  71    44  20.066E+03
  1  2792.4436    12    14        32  51     7  84.673E+00
  1  2792.4436     1     1         1  46     1   3.680E+00
  1  2859.5845    62     6        67  48     5  57.275E+00
  1  2859.5845    62     1        67  42     1  57.275E+00
  1  2859.5845     8     1         8  45     1   6.548E+00
  1  2883.9990    60    62       381  71    21  14.672E+03
  1  2905.3623    40    73       780  81    13 227.950E+03
  1  2987.7622    11     1        11  47     1   9.865E+00
  1  3085.4214    34    42       216  67    12   6.104E+03
  1  3085.4214    33    19       111  54    10 288.757E+00
  1  3100.6807     9    80       979  92     4   1.301E+06
  1  3173.9250    17    12        76  50     6 123.456E+00
  1  3323.4656    11    24        99  65     4   2.529E+03
  1  3524.8879    10    30       111  58     4   1.247E+03
  1  3588.9768    27    35       154  61     9   1.435E+03
  1  3588.9768     9     5        62  47     3  69.179E+00
  1  3588.9768     9     1        62  41     1  69.179E+00
  1  3665.2732    32    64       371  77    11 105.941E+03
  1  3711.0508     7    28       134  62     3   1.044E+03
  1  3711.0508     8     3        14  48     3  19.939E+00
  1  3711.0508     4     2         9  47     1  11.262E+00
  1  3762.9324    41    45       229  64    14   2.969E+03
  1  3762.9324    17     1        17  46     1  12.778E+00
  1  3857.5396    10    33       131  61     5   1.740E+03
  1  3885.0063    18    26        92  54     7 470.124E+00
  1  3915.5249    20    69       602  80    10 109.514E+03
  1  3964.3545   208   132       560  71    40  23.889E+03
  1  3964.3545     7    84      1425  91     3   1.693E+06
  1  4028.4434     5     1         5  46     1   5.023E+00
  1  4052.8582     1     1         1  46     1 610.177E-03
  1  4248.1768    13    33       221  68     5   5.368E+03
  1  4275.6431     6    42       304  67     3   6.432E+03
  1  4419.0801     2    16        65  62     2 752.850E+00
  1  4568.6211    14    52       355  72     9  18.058E+03
  1  4617.4507     7    60       372  72     3  24.377E+03
  1  4641.8657     1    16        76  58     1 433.310E+00
  1  4641.8657    38    51       245  76    16  12.533E+03
  1  4687.6431     7    35       174  65     3   2.123E+03
  1  4751.7319     1    14        46  54     1 172.783E+00
  1  4812.7690     3    16        22  54     3 130.289E+00
  1  4882.9614     9     6        32  48     3  38.696E+00
  1  5005.0352     1    36       105  66     1   2.618E+03
  1  5005.0352    33    26       131  63    10   1.077E+03
  1  5185.0952     3    32        99  65     3   2.401E+03
  1  5346.8428     7    54       393  77     3  46.159E+03
