Maximum Load;6,87;kN
Extension at Maximum Load;0,78;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);47776,32;MPa
Tensile strain at Maximum Load;0,643;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00643;mm/mm
Tensile stress at Break (Standard);300,00703;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;80,06;0,00000;3,50;0,00000
0,10000;0,00;80,23;0,00000;3,51;0,00000
0,20000;0,00;96,71;0,00000;4,23;0,00003
0,30000;0,01;149,95;0,00000;6,55;0,00007
0,40000;0,01;176,89;0,00000;7,73;0,00010
0,50000;0,02;209,82;0,00000;9,17;0,00013
0,60000;0,02;242,75;0,00000;10,61;0,00016
0,70000;0,02;271,62;0,00000;11,87;0,00019
0,80000;0,03;314,37;0,00000;13,74;0,00022
0,90000;0,03;347,06;0,00000;15,17;0,00025
1,00000;0,03;365,25;0,00000;15,96;0,00028
1,10000;0,04;392,99;0,00000;17,17;0,00030
1,20000;0,04;432,74;0,00000;18,91;0,00033
1,30000;0,04;467,95;0,00000;20,45;0,00036
1,40000;0,05;485,08;0,00001;21,20;0,00039
1,50000;0,05;514,45;0,00000;22,48;0,00041
1,60000;0,05;548,02;0,00000;23,95;0,00044
1,70000;0,06;577,96;0,00000;25,26;0,00047
1,80000;0,06;608,46;0,00000;26,59;0,00050
1,90000;0,06;637,10;0,00000;27,84;0,00052
2,00000;0,07;666,11;0,00001;29,11;0,00055
2,10000;0,07;700,76;0,00000;30,62;0,00058
2,20000;0,07;741,52;0,00001;32,40;0,00061
2,30000;0,08;773,11;0,00000;33,78;0,00063
2,40000;0,08;783,20;0,00000;34,22;0,00066
2,50000;0,08;806,28;0,00001;35,23;0,00069
2,60000;0,09;850,21;0,00000;37,15;0,00072
2,70000;0,09;886,32;0,00000;38,73;0,00074
2,80000;0,09;915,16;0,00001;39,99;0,00077
2,90000;0,10;941,60;0,00000;41,14;0,00080
3,00000;0,10;975,76;0,00000;42,64;0,00083
3,10000;0,10;1001,22;0,00000;43,75;0,00085
3,20000;0,11;1035,99;0,00001;45,27;0,00088
3,30000;0,11;1070,51;0,00001;46,78;0,00091
3,40000;0,11;1083,10;0,00001;47,33;0,00093
3,50000;0,12;1112,32;0,00001;48,60;0,00096
3,60000;0,12;1155,95;0,00001;50,51;0,00099
3,70000;0,12;1189,55;0,00000;51,98;0,00102
3,80000;0,13;1204,14;0,00001;52,62;0,00105
3,90000;0,13;1234,50;0,00001;53,94;0,00108
4,00000;0,13;1275,47;0,00001;55,73;0,00110
4,10000;0,14;1304,47;0,00001;57,00;0,00113
4,20000;0,14;1338,91;0,00001;58,51;0,00116
4,30000;0,14;1367,65;0,00001;59,76;0,00118
4,40000;0,15;1386,11;0,00001;60,57;0,00121
4,50000;0,15;1407,89;0,00001;61,52;0,00124
4,60000;0,15;1448,56;0,00001;63,30;0,00127
4,70000;0,16;1486,07;0,00001;64,94;0,00129
4,80000;0,16;1505,60;0,00001;65,79;0,00132
4,90000;0,16;1541,48;0,00001;67,36;0,00135
5,00000;0,17;1575,20;0,00001;68,83;0,00138
5,10000;0,17;1606,60;0,00001;70,20;0,00140
5,20000;0,17;1626,88;0,00001;71,09;0,00143
5,30000;0,18;1654,58;0,00001;72,30;0,00146
5,40000;0,18;1690,47;0,00001;73,87;0,00149
5,50000;0,18;1711,87;0,00001;74,80;0,00151
5,60000;0,19;1748,43;0,00001;76,40;0,00154
5,70000;0,19;1779,76;0,00001;77,77;0,00157
5,80000;0,19;1810,50;0,00001;79,11;0,00160
5,90000;0,20;1834,07;0,00001;80,14;0,00162
6,00000;0,20;1868,60;0,00001;81,65;0,00165
6,10000;0,20;1906,02;0,00001;83,29;0,00168
6,20000;0,21;1921,10;0,00001;83,95;0,00171
6,30000;0,21;1961,04;0,00001;85,69;0,00173
6,40000;0,21;1994,23;0,00001;87,14;0,00176
6,50000;0,22;2015,22;0,00001;88,06;0,00179
6,60000;0,22;2038,49;0,00001;89,08;0,00182
6,70000;0,22;2072,76;0,00001;90,57;0,00185
6,80000;0,23;2116,21;0,00001;92,47;0,00187
6,90000;0,23;2135,77;0,00001;93,33;0,00190
7,00000;0,23;2171,09;0,00001;94,87;0,00193
7,10000;0,24;2202,25;0,00001;96,23;0,00196
7,20000;0,24;2222,43;0,00001;97,11;0,00198
7,30000;0,24;2254,75;0,00001;98,53;0,00201
7,40000;0,25;2292,63;0,00001;100,18;0,00204
7,50000;0,25;2316,58;0,00001;101,23;0,00206
7,60000;0,25;2335,46;0,00001;102,05;0,00209
7,70000;0,26;2377,26;0,00001;103,88;0,00212
7,80000;0,26;2415,92;0,00001;105,57;0,00215
7,90000;0,26;2437,24;0,00001;106,50;0,00218
8,00000;0,27;2456,60;0,00001;107,35;0,00220
8,10000;0,27;2488,50;0,00001;108,74;0,00223
8,20000;0,27;2526,94;0,00001;110,42;0,00226
8,30000;0,28;2553,95;0,00002;111,60;0,00229
8,40000;0,28;2588,74;0,00001;113,12;0,00231
8,50000;0,28;2615,57;0,00001;114,29;0,00234
8,60000;0,29;2634,31;0,00001;115,11;0,00237
8,70000;0,29;2664,31;0,00002;116,42;0,00240
8,80000;0,29;2703,77;0,00001;118,15;0,00242
8,90000;0,30;2733,97;0,00001;119,47;0,00245
9,00000;0,30;2751,12;0,00002;120,21;0,00248
9,10000;0,30;2785,51;0,00001;121,72;0,00251
9,20000;0,31;2825,82;0,00001;123,48;0,00253
9,30000;0,31;2851,84;0,00001;124,62;0,00256
9,40000;0,31;2875,67;0,00001;125,66;0,00259
9,50000;0,32;2903,59;0,00001;126,88;0,00262
9,60000;0,32;2937,02;0,00001;128,34;0,00264
9,70000;0,32;2961,26;0,00001;129,40;0,00267
9,80000;0,33;3004,07;0,00001;131,27;0,00270
9,90000;0,33;3036,96;0,00001;132,71;0,00273
10,00000;0,33;3046,27;0,00001;133,11;0,00275
10,10000;0,34;3073,59;0,00001;134,31;0,00278
10,20000;0,34;3117,00;0,00000;136,20;0,00281
10,30000;0,34;3151,36;0,00001;137,70;0,00284
10,40000;0,35;3172,79;0,00001;138,64;0,00286
10,50000;0,35;3203,65;0,00001;139,99;0,00289
10,60000;0,35;3232,78;0,00001;141,26;0,00292
10,70000;0,36;3257,88;0,00001;142,36;0,00295
10,80000;0,36;3287,49;0,00001;143,65;0,00298
10,90000;0,36;3321,49;0,00001;145,14;0,00300
11,00000;0,37;3350,29;0,00001;146,40;0,00303
11,10000;0,37;3369,48;0,00002;147,24;0,00306
11,20000;0,37;3409,73;0,00001;148,99;0,00308
11,30000;0,38;3443,58;0,00001;150,47;0,00311
11,40000;0,38;3464,16;0,00002;151,37;0,00314
11,50000;0,38;3489,12;0,00001;152,46;0,00317
11,60000;0,39;3521,04;0,00001;153,86;0,00319
