C:\MistrasGroup\AEwin for USB Version E5.30\EXP3001.DTA
MISTRAS-2001 (r) Location Version 
Version E5.30

Tue May 09 13:15:09 2023

 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  1489.3032     2     6        18  54     2  66.053E+00
  1  1513.7180    31    64       465  74    13  16.865E+03
  1  1660.2069     6    22       101  58     3 516.607E+00
  1  2273.6289     9    90      1068  87     4 833.296E+03
  1  2273.6289    78    72       606  77    28  91.301E+03
  1  2542.1917     9    71       397  70     4  14.206E+03
  1  3125.0955     9    14        49  62     5 452.445E+00
  1  3466.9026     1    31        92  69     2   1.795E+03
  1  3613.3916     4    41       265  68     2   5.059E+03
  1  3711.0508     2    64       524  84     2 131.921E+03
  1  3817.8655     2     1       524  45     1 131.921E+03
  1  3881.9546    16     4        27  47     3  33.299E+00
  1  3955.1987     8    15        44  55     4 173.872E+00
  1  4052.8582     1    11        49  52     1 123.664E+00
  1  4052.8582     1    17        67  57     1 356.579E+00
  1  4080.3247     3    65       450  72     2  19.348E+03
  1  4174.9321    19    20       113  55     6 304.101E+00
  1  4174.9321     6    85      1155  86     3 342.883E+03
  1  4297.0063     1     4        15  49     1  30.115E+00
  1  4394.6655     1    33       105  64     2   1.166E+03
  1  4501.4800     7    55       409  75     3  31.774E+03
  1  4501.4800     8    61       431  71     3  15.737E+03
  1  4568.6211     2    55       290  78     2  52.975E+03
  1  4568.6211     4     7        25  51     2  67.519E+00
  1  4687.6431     1    28        85  62     2   1.022E+03
  1  4687.6431     1     7        39  54     1  85.524E+00
  1  4760.8877    10    22        70  63     6 873.826E+00
  1  4809.7173     5    38       135  76     4  13.066E+03
  1  4809.7173    18    30       100  63    10   1.709E+03
  1  4809.7173     4     8        25  51     2  92.421E+00
  1  4882.9614     2    75       488  85     2 177.680E+03
  1  4882.9614    10    46       154  70     6   3.828E+03
  1  4907.3765     9    47       392  73     4  16.195E+03
  1  4907.3765     4    22        96  58     3 329.901E+00
  1  4989.7764     2    30        95  68     2   2.748E+03
  1  5029.4507     1    12        48  54     1 113.620E+00
  1  5029.4507     2    62       385  80     2  64.257E+03
  1  5078.2798     1     3        45  47     1  32.323E+00
  1  5078.2798     1     1        45  45     1  32.323E+00
  1  5078.2798     1    14        48  57     1 264.108E+00
  1  5127.1099     2    45       194  79     2  19.611E+03
  1  5175.9390    12    87      1491  94     5   3.115E+06
  1  5175.9390     8    51       273  71     4  15.633E+03
  1  5224.7690    12     7        54  51     4  65.307E+00
  1  5276.6504     2    18        49  61     2 500.423E+00
  1  5301.0654     2    60       360  84     2 115.430E+03
  1  5301.0654     1    45       182  70     2   6.376E+03
  1  5301.0654    10    14        49  59     7 205.094E+00
