
 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1   540.1776     1     1        22  46     1  45.433E+00
  1   537.1258    24     7       321  58     2   2.382E+03
  1   537.1258    22    17       725  67     2  22.407E+03
  1   540.1776    16     9       382  62     1   4.783E+03
  1  1074.2516     1     1         3  51     1  10.122E+00
  1  1513.7180     4     1         4  46     1   4.408E+00
  1  2002.0142     1    10        25  58     1 186.843E+00
  1  2255.3179    49    28       246  61    11   1.807E+03
  1  2493.3623    34    21        95  56    10 565.428E+00
  1  2636.7993    11     2        40  46     1  22.983E+00
  1  2905.3623    77    15       136  56    12 437.091E+00
  1  3970.4583    69     5        70  50     5  97.657E+00
  1  4028.4434    69     1        70  42     1  97.657E+00
  1  4077.2729     4     1         4  46     1   6.518E+00
  1  4394.6655     1    23        61  69     1   2.738E+03
  1  4495.3765     8     2         8  46     2   9.326E+00
  1  4501.4800    25    37       154  70    14   3.179E+03
  1  4541.1543     1    57       210  74     2   8.710E+03
  1  4690.6953    50    72      1256  88    15 944.643E+03
  1  4690.6953     1    23       112  63     1   1.448E+03
  1  4794.4580     9    30       129  70     5   3.242E+03
  1  4794.4580     2    38       192  77     2  18.103E+03
  1  4809.7173    75    64       995  84    24 417.571E+03
  1  4910.4282     1    61       515  84     1 109.567E+03
  1  4910.4282     1     1       515  44     1 109.567E+03
  1  5029.4507     1    57       339  91     1 244.855E+03
  1  5053.8652     1    21        65  73     1   2.377E+03
  1  5102.6948     1    50       246  74     1  12.481E+03
  1  5130.1616     4    22        70  60     3 470.755E+00
  1  5249.1836     1    39       139  73     2   7.903E+03
  1  5322.4282    13    55       497  86     7 173.126E+03
  1  5346.8428     4    24       119  71     3   4.660E+03
  1  5371.2578    30    51       403  74    11  17.485E+03
  1  5429.2427     6    39       217  80     5  45.111E+03
  1  5493.3315     4    10        32  57     3 125.342E+00
  1  5493.3315    45    75       583  81    14 130.614E+03
  1  5493.3315    16    39       156  74     8   9.786E+03
  1  5493.3315     2    32        97  67     2   1.967E+03
  1  5566.5762     9    12        35  59     5 318.396E+00
  1  5615.4063    15    25       125  69     7   2.186E+03
  1  5615.4063     3    13        37  54     3 147.385E+00
  1  5615.4063    13    46       955  81     7 146.955E+03
  1  5664.2354     4     9        27  59     3 180.254E+00
  1  5673.3911     4    38       230  78     2  24.617E+03
  1  5713.0654    18    30       121  65     9   1.585E+03
  1  5713.0654    20    99       610  83     9 132.247E+03
  1  5761.8945     1    29       120  70     2   2.001E+03
  1  5771.0503    30    39       152  66    14   2.018E+03
  1  5771.0503    29    24        91  58    11 408.627E+00
  1  5819.8799     4    20       110  61     3 551.414E+00
  1  5819.8799    20    88       535  81     7  79.668E+03
  1  5862.6055     1    38       164  70     1   5.388E+03
  1  5862.6055    19    44       223  74     8  17.550E+03
  1  5862.6055     1     1         1  46     1   1.136E+00
  1  5932.7983     3     3         5  51     2  16.077E+00
  1  5932.7983    15    30        84  61     7 975.209E+00
  1  5932.7983     1    39       231  81     1  49.045E+03
  1  5932.7983  2493   212      8995 100   110 139.829E+06
  1  6015.1982     5    72       646  82     3  79.997E+03
  1  6015.1982     3    47       163  75     3  13.331E+03
  1  6033.5093    10    76      1578  99     4   6.213E+06
  1  6079.2871    32    29       218  57    11 542.276E+00
  1  6079.2871     2    72       361  87     2  64.688E+03
