Maximum Load;8,90;kN
Extension at Maximum Load;0,97;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);55051,16;MPa
Tensile strain at Maximum Load;0,654;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00654;mm/mm
Tensile stress at Break (Standard);350,02341;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;48,78;-0,00001;1,92;0,00000
0,10000;0,00;49,17;0,00000;1,93;0,00000
0,20000;0,00;61,69;-0,00001;2,43;0,00002
0,30000;0,01;109,86;0,00001;4,32;0,00005
0,40000;0,01;152,94;-0,00001;6,02;0,00008
0,50000;0,02;184,19;0,00000;7,25;0,00011
0,60000;0,02;216,37;0,00000;8,51;0,00013
0,70000;0,02;250,67;0,00000;9,86;0,00016
0,80000;0,03;282,09;-0,00001;11,10;0,00018
0,90000;0,03;320,53;0,00000;12,61;0,00020
1,00000;0,03;349,00;0,00000;13,73;0,00023
1,10000;0,04;376,69;0,00000;14,82;0,00025
1,20000;0,04;410,66;0,00000;16,16;0,00027
1,30000;0,04;445,09;0,00000;17,51;0,00029
1,40000;0,05;473,30;0,00001;18,62;0,00031
1,50000;0,05;498,99;-0,00001;19,63;0,00034
1,60000;0,05;532,87;0,00000;20,97;0,00036
1,70000;0,06;565,58;-0,00001;22,25;0,00038
1,80000;0,06;592,81;-0,00001;23,33;0,00040
1,90000;0,06;628,65;0,00000;24,74;0,00043
2,00000;0,07;658,72;0,00000;25,92;0,00045
2,10000;0,07;691,63;-0,00001;27,21;0,00047
2,20000;0,07;730,94;0,00000;28,76;0,00050
2,30000;0,08;755,90;0,00000;29,74;0,00052
2,40000;0,08;781,47;0,00000;30,75;0,00054
2,50000;0,08;809,11;-0,00001;31,84;0,00056
2,60000;0,09;847,23;0,00000;33,34;0,00058
2,70000;0,09;880,04;0,00000;34,63;0,00061
2,80000;0,09;908,93;-0,00001;35,76;0,00063
2,90000;0,10;944,07;0,00000;37,15;0,00065
3,00000;0,10;969,55;-0,00002;38,15;0,00067
3,10000;0,10;1004,06;0,00002;39,51;0,00070
3,20000;0,11;1039,07;-0,00002;40,88;0,00072
3,30000;0,11;1062,61;0,00001;41,81;0,00074
3,40000;0,11;1091,10;-0,00002;42,93;0,00076
3,50000;0,12;1127,11;0,00001;44,35;0,00079
3,60000;0,12;1162,93;-0,00001;45,76;0,00081
3,70000;0,12;1187,21;0,00000;46,71;0,00083
3,80000;0,13;1216,68;-0,00001;47,87;0,00086
3,90000;0,13;1253,82;0,00000;49,33;0,00088
4,00000;0,13;1288,57;-0,00002;50,70;0,00090
4,10000;0,14;1323,06;0,00000;52,06;0,00092
4,20000;0,14;1352,17;-0,00001;53,20;0,00094
4,30000;0,14;1373,43;0,00000;54,04;0,00097
4,40000;0,15;1402,55;0,00000;55,19;0,00099
