Maximum Load;6,33;kN
Extension at Maximum Load;0,66;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);56061,97;MPa
Tensile strain at Maximum Load;0,449;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00449;mm/mm
Tensile stress at Break (Standard);250,01604;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;61,11;0,00000;2,42;0,00000
0,10000;0,00;60,94;0,00000;2,41;0,00000
0,20000;0,00;61,46;0,00001;2,43;0,00001
0,30000;0,00;76,78;0,00001;3,03;0,00003
0,40000;0,01;133,91;0,00000;5,29;0,00007
0,50000;0,02;176,11;0,00001;6,96;0,00010
0,60000;0,02;214,42;0,00000;8,48;0,00013
0,70000;0,02;249,82;0,00001;9,87;0,00016
0,80000;0,03;283,57;0,00000;11,21;0,00018
0,90000;0,03;324,99;0,00000;12,85;0,00020
1,00000;0,03;352,24;0,00000;13,92;0,00023
1,10000;0,04;378,19;0,00000;14,95;0,00025
1,20000;0,04;419,09;0,00001;16,57;0,00027
1,30000;0,04;450,76;-0,00001;17,82;0,00029
1,40000;0,05;479,52;0,00000;18,95;0,00032
1,50000;0,05;509,38;0,00000;20,13;0,00034
1,60000;0,05;541,68;-0,00001;21,41;0,00036
1,70000;0,06;572,31;0,00000;22,62;0,00038
1,80000;0,06;603,52;0,00000;23,85;0,00041
1,90000;0,06;638,58;0,00000;25,24;0,00043
2,00000;0,07;669,30;-0,00001;26,45;0,00045
2,10000;0,07;708,21;0,00001;27,99;0,00048
2,20000;0,07;744,35;-0,00001;29,42;0,00050
2,30000;0,08;766,18;0,00001;30,28;0,00052
2,40000;0,08;792,10;-0,00001;31,31;0,00054
2,50000;0,08;828,04;0,00001;32,73;0,00057
2,60000;0,09;864,73;-0,00001;34,18;0,00059
2,70000;0,09;896,72;0,00000;35,44;0,00061
2,80000;0,09;931,95;-0,00001;36,84;0,00063
2,90000;0,10;960,14;0,00000;37,95;0,00066
3,00000;0,10;992,50;0,00000;39,23;0,00068
3,10000;0,10;1027,81;0,00000;40,62;0,00070
3,20000;0,11;1055,45;0,00000;41,72;0,00072
3,30000;0,11;1081,84;0,00000;42,76;0,00075
3,40000;0,11;1115,06;-0,00001;44,07;0,00077
3,50000;0,12;1155,43;0,00000;45,67;0,00079
3,60000;0,12;1181,06;0,00000;46,68;0,00081
3,70000;0,12;1208,49;-0,00001;47,77;0,00084
3,80000;0,13;1245,89;0,00000;49,24;0,00086
3,90000;0,13;1279,89;-0,00001;50,59;0,00088
4,00000;0,13;1315,28;0,00000;51,99;0,00090
4,10000;0,14;1347,94;-0,00001;53,28;0,00093
4,20000;0,14;1369,72;0,00000;54,14;0,00095
4,30000;0,14;1398,63;-0,00001;55,28;0,00097
4,40000;0,15;1436,67;0,00001;56,79;0,00099
4,50000;0,15;1470,49;-0,00001;58,12;0,00102
4,60000;0,15;1498,94;-0,00001;59,25;0,00104
4,70000;0,16;1533,82;0,00000;60,63;0,00106
4,80000;0,16;1569,42;0,00000;62,03;0,00108
4,90000;0,16;1599,52;0,00000;63,22;0,00111
5,00000;0,17;1626,19;0,00000;64,28;0,00113
5,10000;0,17;1657,92;0,00000;65,53;0,00115
