Maximum Load;4,46;kN
Extension at Maximum Load;0,50;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);57825,99;MPa
Tensile strain at Maximum Load;0,344;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00344;mm/mm
Tensile stress at Break (Standard);200,00843;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;74,96;0,00001;3,36;0,00000
0,10000;0,00;76,04;0,00001;3,41;0,00000
0,20000;0,00;76,35;0,00001;3,42;0,00001
0,30000;0,00;86,83;0,00001;3,89;0,00003
0,40000;0,01;144,46;0,00000;6,48;0,00007
0,50000;0,02;184,19;0,00001;8,26;0,00011
0,60000;0,02;221,48;0,00001;9,93;0,00014
0,70000;0,02;254,89;0,00001;11,42;0,00016
0,80000;0,03;286,12;0,00000;12,82;0,00018
0,90000;0,03;327,35;0,00001;14,67;0,00021
1,00000;0,03;351,53;0,00000;15,76;0,00023
1,10000;0,04;375,92;0,00001;16,85;0,00025
1,20000;0,04;409,72;0,00001;18,36;0,00028
1,30000;0,04;446,51;0,00001;20,01;0,00030
1,40000;0,05;471,90;0,00001;21,15;0,00032
1,50000;0,05;494,90;0,00001;22,18;0,00035
1,60000;0,05;526,26;0,00001;23,59;0,00037
1,70000;0,06;555,90;0,00000;24,92;0,00039
1,80000;0,06;587,80;0,00003;26,35;0,00042
1,90000;0,06;616,40;-0,00001;27,63;0,00044
2,00000;0,07;646,11;0,00000;28,96;0,00046
2,10000;0,07;675,11;-0,00001;30,26;0,00049
2,20000;0,07;710,30;-0,00001;31,84;0,00051
2,30000;0,08;746,38;0,00000;33,45;0,00053
2,40000;0,08;772,39;0,00000;34,62;0,00056
2,50000;0,08;792,39;0,00000;35,52;0,00058
2,60000;0,09;818,80;0,00000;36,70;0,00060
2,70000;0,09;855,29;0,00000;38,34;0,00062
2,80000;0,09;891,63;0,00000;39,97;0,00065
2,90000;0,10;918,00;0,00000;41,15;0,00067
3,00000;0,10;947,44;0,00000;42,47;0,00069
3,10000;0,10;979,18;-0,00001;43,89;0,00072
3,20000;0,11;1006,66;0,00000;45,12;0,00074
3,30000;0,11;1039,96;0,00000;46,61;0,00076
3,40000;0,11;1070,62;-0,00001;47,99;0,00079
3,50000;0,12;1089,49;-0,00001;48,83;0,00081
3,60000;0,12;1117,68;0,00000;50,10;0,00083
3,70000;0,12;1159,49;-0,00001;51,97;0,00086
3,80000;0,13;1188,89;0,00000;53,29;0,00088
3,90000;0,13;1207,07;0,00000;54,10;0,00090
4,00000;0,13;1238,42;-0,00001;55,51;0,00093
4,10000;0,14;1277,38;0,00000;57,26;0,00095
4,20000;0,14;1307,21;0,00000;58,59;0,00097
4,30000;0,14;1338,79;0,00000;60,01;0,00099
4,40000;0,15;1366,83;0,00000;61,27;0,00102
4,50000;0,15;1386,78;0,00000;62,16;0,00104
4,60000;0,15;1413,70;0,00000;63,37;0,00106
4,70000;0,16;1450,56;-0,00001;65,02;0,00109
4,80000;0,16;1483,48;0,00000;66,49;0,00111
4,90000;0,16;1509,05;-0,00001;67,64;0,00113
5,00000;0,17;1541,81;0,00000;69,11;0,00116
5,10000;0,17;1575,48;-0,00001;70,62;0,00118
5,20000;0,17;1604,16;0,00000;71,90;0,00120
5,30000;0,18;1629,48;-0,00001;73,04;0,00123
5,40000;0,18;1656,59;0,00000;74,25;0,00125
5,50000;0,18;1688,34;0,00000;75,68;0,00127
5,60000;0,19;1715,60;0,00001;76,90;0,00130
5,70000;0,19;1747,68;0,00000;78,34;0,00132
5,80000;0,19;1777,19;0,00000;79,66;0,00134
5,90000;0,20;1807,96;0,00000;81,04;0,00136
6,00000;0,20;1834,44;0,00001;82,22;0,00139
6,10000;0,20;1868,09;0,00000;83,73;0,00141
6,20000;0,21;1903,45;0,00000;85,32;0,00143
6,30000;0,21;1922,62;0,00000;86,18;0,00146
6,40000;0,21;1956,80;0,00000;87,71;0,00148
6,50000;0,22;1992,10;0,00000;89,29;0,00150
6,60000;0,22;2014,45;0,00000;90,29;0,00153
6,70000;0,22;2037,37;0,00000;91,32;0,00155
6,80000;0,23;2072,31;0,00000;92,89;0,00157
6,90000;0,23;2112,62;0,00000;94,69;0,00160
7,00000;0,23;2134,66;0,00000;95,68;0,00162
7,10000;0,24;2168,66;0,00000;97,21;0,00164
7,20000;0,24;2199,55;0,00000;98,59;0,00166
7,30000;0,24;2220,97;0,00000;99,55;0,00169
7,40000;0,25;2250,07;0,00000;100,85;0,00171
7,50000;0,25;2287,87;0,00000;102,55;0,00173
7,60000;0,25;2315,21;0,00000;103,77;0,00176
7,70000;0,26;2332,17;0,00000;104,53;0,00178
7,80000;0,26;2375,06;0,00000;106,46;0,00180
7,90000;0,26;2411,82;0,00001;108,11;0,00183
8,00000;0,27;2435,88;0,00000;109,18;0,00185
8,10000;0,27;2456,26;0,00000;110,10;0,00187
8,20000;0,27;2487,81;0,00001;111,51;0,00190
8,30000;0,28;2525,02;0,00000;113,18;0,00192
8,40000;0,28;2552,85;0,00000;114,43;0,00194
8,50000;0,28;2587,83;0,00000;115,99;0,00196
8,60000;0,29;2613,35;0,00001;117,14;0,00199
8,70000;0,29;2631,86;0,00001;117,97;0,00201
8,80000;0,29;2663,00;0,00001;119,36;0,00203
8,90000;0,30;2701,71;0,00000;121,10;0,00206
9,00000;0,30;2738,43;0,00000;122,74;0,00208
9,10000;0,30;2750,65;0,00001;123,29;0,00210
9,20000;0,31;2783,62;0,00001;124,77;0,00213
9,30000;0,31;2823,91;0,00001;126,58;0,00215
9,40000;0,31;2849,92;0,00001;127,74;0,00217
9,50000;0,32;2875,38;0,00001;128,88;0,00220
9,60000;0,32;2900,80;0,00000;130,02;0,00222
9,70000;0,32;2935,87;0,00000;131,59;0,00224
9,80000;0,33;2960,77;0,00000;132,71;0,00226
9,90000;0,33;3003,33;0,00001;134,62;0,00229
10,00000;0,33;3035,78;0,00000;136,07;0,00231
10,10000;0,34;3046,26;0,00001;136,54;0,00233
10,20000;0,34;3071,49;0,00001;137,67;0,00236
10,30000;0,34;3116,53;0,00000;139,69;0,00238
10,40000;0,35;3151,92;0,00001;141,28;0,00240
10,50000;0,35;3172,18;0,00001;142,19;0,00243
10,60000;0,35;3203,09;0,00001;143,57;0,00245
10,70000;0,36;3233,91;0,00000;144,95;0,00247
10,80000;0,36;3257,55;0,00000;146,01;0,00250
10,90000;0,36;3289,58;0,00000;147,45;0,00252
11,00000;0,37;3322,04;0,00001;148,90;0,00254
11,10000;0,37;3349,69;0,00000;150,14;0,00257
11,20000;0,37;3369,73;0,00000;151,04;0,00259
11,30000;0,38;3412,19;0,00001;152,94;0,00261
11,40000;0,38;3446,81;0,00000;154,50;0,00263
11,50000;0,38;3464,65;0,00001;155,30;0,00266
11,60000;0,39;3489,89;0,00000;156,43;0,00268
11,70000;0,39;3522,53;0,00000;157,89;0,00270
11,80000;0,39;3558,19;0,00000;159,49;0,00273
11,90000;0,40;3580,41;0,00001;160,48;0,00275
12,00000;0,40;3615,00;0,00001;162,03;0,00277
12,10000;0,40;3645,66;0,00001;163,41;0,00280
12,20000;0,41;3665,54;0,00000;164,30;0,00282
12,30000;0,41;3695,76;0,00001;165,66;0,00284
12,40000;0,41;3733,57;0,00001;167,35;0,00287
12,50000;0,42;3767,25;0,00001;168,86;0,00289
12,60000;0,42;3787,00;0,00001;169,74;0,00291
12,70000;0,42;3819,22;0,00000;171,19;0,00294
12,80000;0,43;3854,23;0,00001;172,76;0,00296
12,90000;0,43;3871,66;0,00000;173,54;0,00298
13,00000;0,43;3894,17;0,00000;174,55;0,00300
13,10000;0,44;3934,60;0,00001;176,36;0,00303
13,20000;0,44;3967,18;0,00001;177,82;0,00305
13,30000;0,44;3986,90;0,00001;178,70;0,00307
13,40000;0,45;4025,81;0,00001;180,45;0,00310
13,50000;0,45;4059,64;0,00000;181,96;0,00312
13,60000;0,45;4085,17;0,00001;183,11;0,00314
13,70000;0,46;4107,89;0,00001;184,13;0,00317
13,80000;0,46;4139,42;0,00001;185,54;0,00319
13,90000;0,46;4170,33;0,00001;186,93;0,00321
14,00000;0,47;4192,23;0,00001;187,91;0,00324
14,10000;0,47;4234,23;0,00001;189,79;0,00326
14,20000;0,47;4265,51;0,00001;191,19;0,00328
14,30000;0,48;4287,44;0,00001;192,18;0,00331
14,40000;0,48;4311,81;0,00001;193,27;0,00333
14,50000;0,48;4346,72;0,00001;194,83;0,00335
14,60000;0,49;4386,12;0,00001;196,60;0,00338
14,70000;0,49;4406,72;0,00001;197,52;0,00340
14,80000;0,49;4433,65;0,00001;198,73;0,00342
14,89600;0,50;4462,19;0,00001;200,01;0,00344
