Maximum Load;12,97;kN
Extension at Maximum Load;1,60;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);56098,24;MPa
Tensile strain at Maximum Load;1,143;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,01143;mm/mm
Tensile stress at Break (Standard);600,01814;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;86,35;0,00000;3,99;0,00000
0,10000;0,00;86,54;0,00000;4,00;0,00000
0,20000;0,00;95,42;-0,00001;4,41;0,00002
0,30000;0,01;145,50;0,00000;6,73;0,00005
0,40000;0,01;175,62;0,00000;8,12;0,00009
0,50000;0,02;211,04;0,00000;9,76;0,00012
0,60000;0,02;243,98;0,00000;11,28;0,00014
0,70000;0,02;271,60;0,00000;12,56;0,00017
0,80000;0,03;313,52;0,00000;14,50;0,00019
0,90000;0,03;344,31;0,00000;15,93;0,00021
1,00000;0,03;362,61;0,00000;16,77;0,00024
1,10000;0,04;386,53;0,00000;17,88;0,00026
1,20000;0,04;425,81;-0,00001;19,70;0,00029
1,30000;0,04;461,18;0,00000;21,33;0,00031
1,40000;0,05;479,13;0,00000;22,16;0,00033
1,50000;0,05;502,95;-0,00001;23,26;0,00036
1,60000;0,05;534,80;0,00000;24,74;0,00038
1,70000;0,06;564,39;0,00000;26,11;0,00040
1,80000;0,06;591,82;-0,00001;27,37;0,00043
1,90000;0,06;621,94;-0,00001;28,77;0,00045
2,00000;0,07;649,68;0,00000;30,05;0,00048
2,10000;0,07;676,27;-0,00001;31,28;0,00050
2,20000;0,07;713,45;-0,00001;33,00;0,00052
2,30000;0,08;753,68;-0,00001;34,86;0,00055
2,40000;0,08;775,89;0,00000;35,89;0,00057
2,50000;0,08;784,86;0,00000;36,30;0,00059
2,60000;0,09;814,85;-0,00001;37,69;0,00062
2,70000;0,09;856,59;0,00000;39,62;0,00064
2,80000;0,09;887,89;-0,00001;41,07;0,00067
2,90000;0,10;916,35;-0,00001;42,38;0,00069
3,00000;0,10;943,27;-0,00001;43,63;0,00071
3,10000;0,10;971,83;0,00000;44,95;0,00074
3,20000;0,11;998,57;-0,00001;46,19;0,00076
3,30000;0,11;1033,11;0,00000;47,79;0,00078
3,40000;0,11;1066,57;-0,00001;49,33;0,00081
3,50000;0,12;1081,44;-0,00001;50,02;0,00083
3,60000;0,12;1104,58;-0,00001;51,09;0,00086
3,70000;0,12;1142,41;-0,00001;52,84;0,00088
3,80000;0,13;1179,58;0,00000;54,56;0,00090
3,90000;0,13;1199,82;-0,00001;55,50;0,00093
4,00000;0,13;1219,56;-0,00001;56,41;0,00095
4,10000;0,14;1255,42;-0,00001;58,07;0,00097
4,20000;0,14;1294,74;-0,00001;59,89;0,00100
4,30000;0,14;1319,49;-0,00001;61,03;0,00102
4,40000;0,15;1351,57;0,00000;62,51;0,00105
4,50000;0,15;1377,27;-0,00001;63,70;0,00107
4,60000;0,15;1393,10;-0,00001;64,44;0,00109
4,70000;0,16;1417,86;-0,00001;65,58;0,00112
4,80000;0,16;1460,70;-0,00001;67,56;0,00114
4,90000;0,16;1494,04;-0,00001;69,10;0,00116
5,00000;0,17;1511,46;-0,00001;69,91;0,00119
5,10000;0,17;1547,19;0,00000;71,56;0,00121
5,20000;0,17;1583,93;-0,00001;73,26;0,00124
5,30000;0,18;1608,18;-0,00001;74,38;0,00126
5,40000;0,18;1626,75;-0,00001;75,24;0,00128
5,50000;0,18;1659,62;-0,00001;76,76;0,00131
5,60000;0,19;1691,92;-0,00001;78,26;0,00133
5,70000;0,19;1711,02;-0,00001;79,14;0,00135
5,80000;0,19;1750,11;-0,00001;80,95;0,00138
5,90000;0,20;1777,67;-0,00001;82,22;0,00140
6,00000;0,20;1806,14;-0,00001;83,54;0,00143
6,10000;0,20;1831,33;-0,00001;84,71;0,00145
6,20000;0,21;1862,67;-0,00001;86,15;0,00147
6,30000;0,21;1899,16;-0,00001;87,84;0,00150
6,40000;0,21;1917,10;0,00000;88,67;0,00152
6,50000;0,22;1952,01;-0,00002;90,29;0,00154
6,60000;0,22;1983,94;-0,00002;91,76;0,00157
6,70000;0,22;2008,24;-0,00001;92,89;0,00159
6,80000;0,23;2028,31;-0,00001;93,82;0,00162
6,90000;0,23;2055,87;-0,00001;95,09;0,00164
7,00000;0,23;2098,29;-0,00001;97,05;0,00166
7,10000;0,24;2127,55;-0,00001;98,41;0,00169
7,20000;0,24;2151,56;-0,00001;99,52;0,00171
