Maximum Load;17,39;kN
Extension at Maximum Load;2,03;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);51448,51;MPa
Tensile strain at Maximum Load;1,597;%
Tensile strain at Yield (Offset       0,2 %);0,01417;mm/mm
Tensile stress at Yield (Offset       0,2 %);628,68388;MPa
Tensile strain at Break (Standard);0,01597;mm/mm
Tensile stress at Break (Standard);700,01018;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;78,92;-0,00001;3,18;0,00000
0,10000;0,00;78,33;0,00000;3,15;0,00000
0,20000;0,00;81,86;0,00000;3,30;0,00002
0,30000;0,01;124,64;0,00000;5,02;0,00005
0,40000;0,01;172,23;0,00000;6,93;0,00009
0,50000;0,02;215,72;0,00000;8,68;0,00013
0,60000;0,02;253,94;-0,00001;10,22;0,00015
0,70000;0,02;295,54;0,00000;11,90;0,00018
0,80000;0,03;341,61;0,00000;13,75;0,00021
0,90000;0,03;364,48;0,00000;14,67;0,00024
1,00000;0,03;395,45;-0,00001;15,92;0,00026
1,10000;0,04;446,01;-0,00001;17,96;0,00029
1,20000;0,04;474,36;-0,00001;19,10;0,00032
1,30000;0,04;496,14;0,00000;19,97;0,00034
1,40000;0,05;536,66;0,00000;21,60;0,00037
1,50000;0,05;570,23;-0,00001;22,96;0,00039
1,60000;0,05;603,93;-0,00001;24,31;0,00042
1,70000;0,06;638,39;0,00000;25,70;0,00045
1,80000;0,06;670,33;0,00000;26,99;0,00047
1,90000;0,06;707,51;-0,00001;28,48;0,00050
2,00000;0,07;755,59;-0,00001;30,42;0,00053
2,10000;0,07;777,83;-0,00001;31,31;0,00055
2,20000;0,07;794,27;-0,00001;31,98;0,00058
2,30000;0,08;837,21;-0,00001;33,70;0,00061
2,40000;0,08;881,79;-0,00001;35,50;0,00063
2,50000;0,08;913,24;-0,00001;36,76;0,00066
2,60000;0,09;944,73;-0,00001;38,03;0,00068
2,70000;0,09;981,27;-0,00001;39,50;0,00071
2,80000;0,09;1010,19;-0,00001;40,67;0,00074
2,90000;0,10;1052,02;-0,00001;42,35;0,00076
3,00000;0,10;1080,18;-0,00001;43,49;0,00079
3,10000;0,10;1100,34;-0,00001;44,30;0,00081
3,20000;0,11;1146,82;-0,00001;46,17;0,00084
3,30000;0,11;1188,30;-0,00001;47,84;0,00087
3,40000;0,11;1206,15;-0,00001;48,56;0,00089
3,50000;0,12;1237,19;-0,00001;49,81;0,00092
3,60000;0,12;1288,65;-0,00001;51,88;0,00095
3,70000;0,12;1318,01;-0,00001;53,06;0,00097
3,80000;0,13;1353,47;-0,00001;54,49;0,00100
3,90000;0,13;1382,24;-0,00001;55,65;0,00103
4,00000;0,13;1403,31;-0,00001;56,49;0,00105
4,10000;0,14;1444,94;-0,00001;58,17;0,00108
4,20000;0,14;1488,85;-0,00001;59,94;0,00110
4,30000;0,14;1510,80;-0,00001;60,82;0,00113
4,40000;0,15;1551,54;-0,00001;62,46;0,00116
4,50000;0,15;1593,57;-0,00001;64,15;0,00118
4,60000;0,15;1617,85;-0,00001;65,13;0,00121
4,70000;0,16;1645,72;-0,00001;66,25;0,00124
4,80000;0,16;1686,14;-0,00001;67,88;0,00126
4,90000;0,16;1711,41;-0,00001;68,90;0,00129
5,00000;0,17;1750,23;-0,00001;70,46;0,00131
5,10000;0,17;1787,67;-0,00001;71,97;0,00134
5,20000;0,17;1819,15;-0,00001;73,23;0,00137
5,30000;0,18;1849,84;-0,00001;74,47;0,00139
5,40000;0,18;1893,48;-0,00001;76,23;0,00142
5,50000;0,18;1916,95;-0,00001;77,17;0,00145
5,60000;0,19;1954,50;-0,00001;78,68;0,00147
5,70000;0,19;1991,82;-0,00001;80,19;0,00150
5,80000;0,19;2018,63;-0,00001;81,27;0,00153
5,90000;0,20;2047,48;-0,00001;82,43;0,00155
6,00000;0,20;2088,06;-0,00001;84,06;0,00158
6,10000;0,20;2127,98;-0,00001;85,67;0,00161
6,20000;0,21;2158,69;-0,00001;86,90;0,00163
6,30000;0,21;2192,65;-0,00001;88,27;0,00166
6,40000;0,21;2221,07;-0,00001;89,41;0,00168
6,50000;0,22;2253,50;-0,00001;90,72;0,00171
6,60000;0,22;2291,56;-0,00001;92,25;0,00173
6,70000;0,22;2320,33;-0,00001;93,41;0,00176
6,80000;0,23;2350,38;-0,00001;94,62;0,00179
6,90000;0,23;2397,03;-0,00002;96,50;0,00181
7,00000;0,23;2432,66;-0,00001;97,93;0,00184
7,10000;0,24;2449,73;-0,00001;98,62;0,00187
7,20000;0,24;2483,50;-0,00001;99,98;0,00189
7,30000;0,24;2528,87;-0,00002;101,81;0,00192
7,40000;0,25;2559,67;-0,00001;103,05;0,00195
7,50000;0,25;2597,51;-0,00001;104,57;0,00197
7,60000;0,25;2622,79;-0,00001;105,59;0,00200
7,70000;0,26;2648,70;-0,00001;106,63;0,00202
7,80000;0,26;2690,18;-0,00001;108,30;0,00205
7,90000;0,26;2733,14;-0,00001;110,03;0,00208
8,00000;0,27;2749,67;-0,00001;110,70;0,00210
8,10000;0,27;2788,81;-0,00001;112,27;0,00213
8,20000;0,27;2828,88;-0,00002;113,88;0,00216
8,30000;0,28;2858,63;-0,00001;115,08;0,00218
8,40000;0,28;2886,00;-0,00001;116,18;0,00221
8,50000;0,28;2918,81;-0,00001;117,50;0,00223
8,60000;0,29;2952,12;-0,00002;118,85;0,00226
8,70000;0,29;2995,31;-0,00002;120,58;0,00229
8,80000;0,29;3031,89;-0,00002;122,06;0,00231
8,90000;0,30;3046,89;-0,00002;122,66;0,00234
9,00000;0,30;3079,81;-0,00001;123,99;0,00237
9,10000;0,30;3125,47;-0,00001;125,82;0,00239
9,20000;0,31;3159,97;-0,00001;127,21;0,00242
9,30000;0,31;3188,55;-0,00002;128,36;0,00244
9,40000;0,31;3221,00;-0,00002;129,67;0,00247
9,50000;0,32;3254,01;-0,00002;131,00;0,00250
9,60000;0,32;3284,79;-0,00002;132,24;0,00252
9,70000;0,32;3322,05;-0,00002;133,74;0,00255
9,80000;0,33;3353,76;-0,00001;135,01;0,00258
9,90000;0,33;3381,42;-0,00002;136,13;0,00260
10,00000;0,33;3427,21;-0,00002;137,97;0,00263
10,10000;0,34;3457,92;-0,00001;139,21;0,00266
10,20000;0,34;3481,84;-0,00001;140,17;0,00268
10,30000;0,34;3515,55;-0,00001;141,53;0,00271
10,40000;0,35;3555,77;-0,00002;143,15;0,00273
10,50000;0,35;3582,99;-0,00003;144,24;0,00276
10,60000;0,35;3620,39;-0,00002;145,75;0,00279
10,70000;0,36;3651,65;-0,00001;147,01;0,00281
10,80000;0,36;3677,94;-0,00001;148,07;0,00284
10,90000;0,36;3717,75;-0,00002;149,67;0,00287
11,00000;0,37;3757,23;-0,00002;151,26;0,00289
11,10000;0,37;3783,37;-0,00002;152,31;0,00292
11,20000;0,37;3820,08;-0,00001;153,79;0,00294
11,30000;0,38;3853,98;-0,00002;155,15;0,00297
11,40000;0,38;3874,94;-0,00002;156,00;0,00300
