C:\MistrasGroup\AEwin for USB Version E5.30\EXP3002.DTA
MISTRAS-2001 (r) Location Version 
Version E5.30

Tue May 09 13:25:02 2023

 ID      PARA1  RISE  COUN  DURATION AMP PCNTS  ABS-ENERGY
  1  3183.0806     1    10        30  54     1  78.001E+00
  1  3442.4880     4    23        75  66     3   1.415E+03
  1  3833.1250    25    41       141  68    13   6.188E+03
  1  4223.7617     1     2        11  47     1  11.033E+00
  1  4223.7617     4    78       629  88     2 431.072E+03
  1  4321.4209     1    25        74  62     1 704.113E+00
  1  4785.3022     1    62       431  91     1 291.832E+03
  1  4882.9614    22    75       354  88    12 203.897E+03
  1  4907.3765    10    45       145  69     6   4.629E+03
  1  4907.3765    11    97      1110  90     6 617.206E+03
  1  5029.4507     9    46       146  78     5  37.742E+03
  1  5087.4360     1    37       151  77     2  20.916E+03
  1  5127.1099     1    29        85  66     1   1.321E+03
  1  5185.0952    12    22        65  66     8   1.812E+03
  1  5227.8208     6    79       755  86     3 644.687E+03
  1  5227.8208     4    42       136  64     3   2.410E+03
  1  5371.2578     2    35       128  65     2   2.326E+03
  1  5371.2578     1    12        38  57     2 215.607E+00
  1  5398.7246    41    58       250  82    16  68.399E+03
  1  5423.1392     9    45       221  67     6   4.258E+03
  1  5444.5024     4    48       188  80     3  36.306E+03
  1  5520.7983     8    70       410  81     3 111.430E+03
  1  5569.6279    19     2        20  47     2  17.405E+00
  1  5615.4063     4    47       153  74     3   8.708E+03
  1  5615.4063     8     4        47  52     2  70.875E+00
  1  5615.4063     1    51       306  85     2  85.507E+03
  1  5713.0654     1     3         8  48     1  12.827E+00
  1  5761.8945     2     9        56  52     2  76.777E+00
  1  5810.7246     4    44       282  79     3  44.816E+03
  1  5810.7246    11    48       160  67     5   3.478E+03
  1  5825.9834     4     6        12  51     3  42.916E+00
  1  5825.9834     4    93      1084  99     3   2.605E+06
  1  5887.0210     7    63       338  77     5  17.821E+03
  1  5917.5391    63    72      1029  81    23 178.967E+03
  1  5966.3691     7    21        62  59     5 477.654E+00
  1  5966.3691     7    70       347  75     5  21.742E+03
  1  6006.0430     1    46       240  74     1  20.780E+03
  1  6009.0947     9    42       128  64     5   4.838E+03
  1  6009.0947     2    46       374  83     2  93.612E+03
  1  6009.0947     2    44       175  70     2   6.882E+03
  1  6103.7021    20    11        44  57     8 171.965E+00
  1  6103.7021    10    53       223  75     5  29.908E+03
  1  6103.7021     8    29       101  64     5 998.026E+00
  1  6128.1167     6    60       949  87     4 289.087E+03
  1  6201.3613    29    21       103  54     8 252.340E+00
  1  6250.1909     9    44       335  79     4  55.723E+03
  1  6250.1909     3    36       144  75     3  15.039E+03
  1  6253.2427    83    97       754  85    32 206.723E+03
  1  6253.2427    60    94       474  84    22 163.699E+03
  1  6308.1758    28   165       982  84    14 378.283E+03
  1  6323.4355     6    59       747  87     4 364.383E+03
  1  6323.4355    26    81       638  82    10 243.687E+03
  1  6323.4355     5    45       172  70     4   4.368E+03
  1  6323.4355    22    37       224  71    11   5.672E+03
  1  6396.6797    10    72       522  78     4  39.513E+03
  1  6396.6797     3     5        20  53     2  39.613E+00
  1  6448.5610     1    47       182  77     2  17.759E+03
  1  6448.5610     2   132      1040  90     1 839.364E+03
  1  6448.5610     5    24        96  54     2 301.527E+00
  1  6503.4941     1    39       129  71     1   5.727E+03
  1  6543.1685     9    52       338  72     5   9.145E+03
  1  6543.1685     9   104       887  87     4 638.208E+03
  1  6546.2202     4     3        15  48     2  23.162E+00
  1  6546.2202     4   140       988  93     3   1.305E+06
  1  6546.2202     9    68       393  78     4  38.837E+03
  1  6601.1538    17   136       850  90     9 511.956E+03
  1  6601.1538    13    66      1343  90     8 742.640E+03
  1  6601.1538     1     5        11  52     1  32.942E+00
  1  6649.9834     8    81       415  77     4  31.667E+03
  1  6649.9834     5    93       970  87     4 297.875E+03
  1  6649.9834     4    61       255  72     3   4.226E+03
  1  6649.9834     9   100       806  89     5 569.115E+03
  1  6738.4868    11   113      1179  89     6 437.135E+03
  1  6738.4868     4    11        37  60     3 294.357E+00
  1  6738.4868    18    68       305  78     9  36.778E+03
  1  6787.3169    15   184      1296  90     5 640.584E+03
  1  6787.3169     1     9        42  51     2  76.786E+00
  1  6836.1460   211   169       996  82    42 269.013E+03
  1  6836.1460    16    75       882  84     6 265.062E+03
  1  6836.1460     6   146      1090  90     3   1.218E+06
  1  6860.5605    11    48       255  78     7  40.336E+03
  1  6860.5605    10    51       301  77     6  15.945E+03
  1  6860.5605    16   118       952 100     7  20.043E+06
  1  6860.5605     4    54       379  75     3  19.793E+03
  1  6936.8569     1    35       115  76     1  10.700E+03
  1  6961.2725    17    77       333  85    10  90.990E+03
  1  6961.2725    11     2        11  46     2  10.177E+00
  1  7007.0498    27    81      1525  91     9   1.119E+06
  1  7031.4644     1     7        18  62     1 185.432E+00
