Maximum Load;7,49;kN
Extension at Maximum Load;0,82;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);54989,46;MPa
Tensile strain at Maximum Load;0,559;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00559;mm/mm
Tensile stress at Break (Standard);300,00131;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;68,39;0,00002;2,74;0,00000
0,10000;0,00;67,57;-0,00001;2,71;0,00000
0,20000;0,00;69,87;0,00002;2,80;0,00001
0,30000;0,01;94,76;-0,00001;3,80;0,00004
0,40000;0,01;149,60;0,00003;5,99;0,00008
0,50000;0,02;187,26;-0,00002;7,50;0,00011
0,60000;0,02;224,58;0,00003;9,00;0,00014
0,70000;0,02;261,77;-0,00001;10,49;0,00016
0,80000;0,03;295,51;0,00002;11,84;0,00018
0,90000;0,03;333,54;0,00000;13,37;0,00021
1,00000;0,03;359,23;0,00000;14,40;0,00023
1,10000;0,04;387,64;0,00001;15,53;0,00025
1,20000;0,04;427,28;-0,00001;17,12;0,00027
1,30000;0,04;458,22;0,00003;18,36;0,00030
1,40000;0,05;483,35;-0,00002;19,37;0,00032
1,50000;0,05;513,68;0,00002;20,58;0,00034
1,60000;0,05;546,19;-0,00001;21,89;0,00037
1,70000;0,06;576,35;0,00002;23,10;0,00039
1,80000;0,06;607,25;-0,00001;24,33;0,00041
1,90000;0,06;639,83;0,00000;25,64;0,00043
2,00000;0,07;672,56;0,00001;26,95;0,00046
2,10000;0,07;708,82;-0,00001;28,40;0,00048
2,20000;0,07;743,82;0,00001;29,81;0,00050
2,30000;0,08;767,31;-0,00001;30,75;0,00052
2,40000;0,08;790,81;0,00002;31,69;0,00055
2,50000;0,08;827,23;-0,00002;33,15;0,00057
2,60000;0,09;862,99;0,00002;34,58;0,00059
2,70000;0,09;894,06;-0,00001;35,83;0,00062
2,80000;0,09;928,51;0,00001;37,21;0,00064
2,90000;0,10;956,25;0,00000;38,32;0,00066
3,00000;0,10;985,66;0,00000;39,50;0,00068
3,10000;0,10;1021,47;0,00001;40,93;0,00071
3,20000;0,11;1051,94;-0,00001;42,15;0,00073
3,30000;0,11;1075,40;0,00001;43,09;0,00075
3,40000;0,11;1105,51;-0,00001;44,30;0,00078
3,50000;0,12;1146,53;0,00001;45,94;0,00080
3,60000;0,12;1174,41;-0,00001;47,06;0,00082
3,70000;0,12;1198,77;0,00001;48,04;0,00084
3,80000;0,13;1232,56;-0,00001;49,39;0,00087
3,90000;0,13;1266,80;0,00000;50,76;0,00089
4,00000;0,13;1305,56;0,00000;52,32;0,00091
4,10000;0,14;1333,92;0,00000;53,45;0,00094
4,20000;0,14;1359,43;0,00001;54,48;0,00096
4,30000;0,14;1383,21;-0,00001;55,43;0,00098
4,40000;0,15;1414,30;0,00001;56,67;0,00100
4,50000;0,15;1453,57;-0,00001;58,25;0,00103
4,60000;0,15;1482,98;0,00002;59,43;0,00105
4,70000;0,16;1513,80;-0,00001;60,66;0,00107
4,80000;0,16;1548,75;0,00002;62,06;0,00109
4,90000;0,16;1580,49;-0,00001;63,33;0,00112
5,00000;0,17;1610,10;0,00001;64,52;0,00114
5,10000;0,17;1634,92;0,00000;65,51;0,00116
5,20000;0,17;1666,10;0,00001;66,76;0,00119
5,30000;0,18;1699,64;0,00000;68,11;0,00121
5,40000;0,18;1729,46;0,00001;69,30;0,00123
5,50000;0,18;1765,01;0,00000;70,73;0,00125
5,60000;0,19;1794,83;-0,00001;71,92;0,00128
5,70000;0,19;1822,25;0,00002;73,02;0,00130
5,80000;0,19;1857,78;-0,00001;74,45;0,00132
5,90000;0,20;1892,69;0,00001;75,84;0,00135
6,00000;0,20;1917,16;-0,00001;76,82;0,00137
6,10000;0,20;1949,86;0,00002;78,14;0,00139
6,20000;0,21;1985,97;-0,00001;79,58;0,00141
6,30000;0,21;2008,72;0,00002;80,49;0,00144
6,40000;0,21;2034,45;-0,00001;81,52;0,00146
6,50000;0,22;2075,76;0,00001;83,18;0,00148
6,60000;0,22;2108,55;0,00000;84,49;0,00150
6,70000;0,22;2136,54;-0,00001;85,62;0,00153
6,80000;0,23;2171,71;0,00002;87,03;0,00155
6,90000;0,23;2201,85;-0,00001;88,23;0,00157
7,00000;0,23;2223,58;0,00002;89,10;0,00160
7,10000;0,24;2259,01;-0,00001;90,52;0,00162
7,20000;0,24;2296,53;0,00002;92,03;0,00164
7,30000;0,24;2315,95;-0,00001;92,81;0,00166
7,40000;0,25;2349,16;0,00002;94,14;0,00169
