Maximum Load;9,06;kN
Extension at Maximum Load;0,99;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);56233,55;MPa
Tensile strain at Maximum Load;0,639;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,00639;mm/mm
Tensile stress at Break (Standard);350,00944;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;64,48;-0,00001;2,49;0,00000
0,10000;0,00;63,28;0,00002;2,45;0,00000
0,20000;0,00;64,42;0,00000;2,49;0,00001
0,30000;0,00;76,78;0,00000;2,97;0,00003
0,40000;0,01;134,30;0,00001;5,19;0,00007
0,50000;0,02;177,42;0,00000;6,86;0,00010
0,60000;0,02;216,02;0,00001;8,35;0,00013
0,70000;0,02;251,01;0,00000;9,70;0,00015
0,80000;0,03;285,61;0,00002;11,04;0,00017
0,90000;0,03;325,84;0,00000;12,59;0,00019
1,00000;0,03;351,46;0,00001;13,58;0,00021
1,10000;0,04;377,56;0,00001;14,59;0,00024
1,20000;0,04;418,14;0,00000;16,16;0,00026
1,30000;0,04;448,62;0,00002;17,34;0,00028
1,40000;0,05;476,22;0,00000;18,40;0,00030
1,50000;0,05;506,45;0,00003;19,57;0,00032
1,60000;0,05;535,93;-0,00001;20,71;0,00035
1,70000;0,06;567,60;0,00001;21,94;0,00037
1,80000;0,06;597,49;0,00000;23,09;0,00039
1,90000;0,06;632,58;0,00002;24,45;0,00041
2,00000;0,07;661,36;0,00001;25,56;0,00043
2,10000;0,07;697,97;-0,00001;26,97;0,00045
2,20000;0,07;736,01;0,00002;28,44;0,00048
2,30000;0,08;760,20;0,00000;29,38;0,00050
2,40000;0,08;784,14;0,00001;30,30;0,00052
2,50000;0,08;814,14;0,00000;31,46;0,00054
2,60000;0,09;850,33;0,00001;32,86;0,00056
2,70000;0,09;887,42;0,00000;34,30;0,00058
2,80000;0,09;918,62;0,00001;35,50;0,00060
2,90000;0,10;949,78;0,00000;36,71;0,00063
3,00000;0,10;979,13;0,00001;37,84;0,00065
3,10000;0,10;1012,56;-0,00001;39,13;0,00067
3,20000;0,11;1044,37;0,00001;40,36;0,00069
3,30000;0,11;1070,84;0,00000;41,39;0,00071
3,40000;0,11;1098,40;0,00000;42,45;0,00073
3,50000;0,12;1135,90;0,00001;43,90;0,00076
3,60000;0,12;1169,68;-0,00001;45,20;0,00078
3,70000;0,12;1195,26;0,00002;46,19;0,00080
3,80000;0,13;1222,76;0,00000;47,26;0,00082
3,90000;0,13;1258,90;0,00002;48,65;0,00084
4,00000;0,13;1298,79;-0,00001;50,19;0,00086
4,10000;0,14;1327,03;0,00003;51,29;0,00088
4,20000;0,14;1356,15;0,00000;52,41;0,00091
4,30000;0,14;1381,36;0,00001;53,39;0,00093
4,40000;0,15;1409,35;0,00001;54,47;0,00095
4,50000;0,15;1447,32;0,00001;55,93;0,00097
4,60000;0,15;1481,40;0,00002;57,25;0,00099
4,70000;0,16;1509,62;0,00000;58,34;0,00101
4,80000;0,16;1544,22;0,00002;59,68;0,00104
4,90000;0,16;1578,70;0,00000;61,01;0,00106
5,00000;0,17;1608,30;0,00002;62,16;0,00108
5,10000;0,17;1631,81;-0,00001;63,07;0,00110
5,20000;0,17;1666,57;0,00002;64,41;0,00112
5,30000;0,18;1698,28;0,00001;65,63;0,00114
5,40000;0,18;1727,17;0,00002;66,75;0,00116
5,50000;0,18;1765,96;0,00000;68,25;0,00119
5,60000;0,19;1794,44;0,00001;69,35;0,00121
5,70000;0,19;1822,07;0,00001;70,42;0,00123
5,80000;0,19;1859,96;0,00001;71,88;0,00125
5,90000;0,20;1893,69;0,00002;73,19;0,00127
6,00000;0,20;1917,90;0,00000;74,12;0,00129
6,10000;0,20;1952,66;0,00002;75,46;0,00132
6,20000;0,21;1988,60;0,00002;76,85;0,00134
6,30000;0,21;2010,98;0,00001;77,72;0,00136
6,40000;0,21;2038,93;0,00002;78,80;0,00138
