Maximum Load;13,05;kN
Extension at Maximum Load;1,73;mm
Modulus (E-modulus);11833,95;MPa
Modulus (Automatic Young's);13043,18;MPa
Tensile strain at Maximum Load;4,937;%
Tensile strain at Yield (Offset       0,2 %);0,02525;mm/mm
Tensile stress at Yield (Offset       0,2 %);306,65974;MPa
Tensile strain at Break (Standard);0,04937;mm/mm
Tensile stress at Break (Standard);500,00043;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;72,41;0,00005;2,77;0,00000
0,10000;0,00;71,71;0,00019;2,75;0,00001
0,20000;0,00;73,05;0,00006;2,80;0,00004
0,30000;0,00;85,96;0,00022;3,29;0,00014
0,40000;0,01;164,23;-0,00029;6,29;0,00030
0,50000;0,02;205,00;0,00003;7,85;0,00044
0,60000;0,02;254,30;0,00034;9,74;0,00056
0,70000;0,02;285,74;-0,00002;10,95;0,00066
0,80000;0,03;335,04;0,00001;12,83;0,00076
0,90000;0,03;370,60;-0,00015;14,20;0,00086
1,00000;0,03;389,80;0,00098;14,93;0,00095
1,10000;0,04;437,20;0,00022;16,75;0,00105
1,20000;0,04;481,63;-0,00033;18,45;0,00114
1,30000;0,04;494,51;0,00008;18,94;0,00124
1,40000;0,05;531,70;0,00097;20,37;0,00133
1,50000;0,05;571,05;-0,00016;21,87;0,00143
1,60000;0,05;599,30;-0,00080;22,96;0,00152
1,70000;0,06;636,82;0,00067;24,39;0,00162
1,80000;0,06;669,60;0,00029;25,65;0,00172
1,90000;0,06;698,06;-0,00011;26,74;0,00181
2,00000;0,07;746,04;-0,00032;28,58;0,00190
2,10000;0,07;787,23;0,00035;30,16;0,00200
2,20000;0,07;794,72;-0,00023;30,44;0,00209
2,30000;0,08;826,62;0,00020;31,67;0,00219
2,40000;0,08;875,71;0,00022;33,55;0,00229
2,50000;0,08;908,40;-0,00009;34,80;0,00238
2,60000;0,09;941,54;0,00012;36,07;0,00248
2,70000;0,09;970,10;-0,00024;37,16;0,00257
2,80000;0,09;1004,14;0,00027;38,47;0,00266
2,90000;0,10;1034,37;-0,00004;39,62;0,00276
3,00000;0,10;1076,83;0,00014;41,25;0,00286
3,10000;0,10;1095,02;-0,00007;41,95;0,00295
3,20000;0,11;1122,35;0,00018;42,99;0,00305
3,30000;0,11;1169,18;-0,00014;44,79;0,00314
3,40000;0,11;1206,06;0,00010;46,20;0,00324
3,50000;0,12;1221,14;0,00010;46,78;0,00333
3,60000;0,12;1254,68;-0,00006;48,06;0,00343
3,70000;0,12;1301,90;0,00020;49,87;0,00352
3,80000;0,13;1327,00;-0,00013;50,83;0,00361
3,90000;0,13;1367,15;0,00014;52,37;0,00372
4,00000;0,13;1394,65;-0,00004;53,42;0,00381
4,10000;0,14;1411,38;0,00016;54,07;0,00390
4,20000;0,14;1452,33;-0,00007;55,63;0,00400
4,30000;0,14;1497,86;0,00015;57,38;0,00409
4,40000;0,15;1516,60;-0,00006;58,10;0,00419
4,50000;0,15;1551,11;0,00006;59,42;0,00428
4,60000;0,15;1590,15;0,00010;60,91;0,00438
4,70000;0,16;1621,96;-0,00009;62,13;0,00447
4,80000;0,16;1643,56;0,00019;62,96;0,00457
4,90000;0,16;1681,04;-0,00007;64,40;0,00467
5,00000;0,17;1712,12;0,00011;65,59;0,00476
5,10000;0,17;1735,99;-0,00002;66,50;0,00485
5,20000;0,17;1778,90;0,00014;68,14;0,00496
5,30000;0,18;1812,14;-0,00003;69,42;0,00505
5,40000;0,18;1836,66;0,00012;70,36;0,00514
5,50000;0,18;1871,94;0,00001;71,71;0,00524
5,60000;0,19;1913,01;0,00002;73,28;0,00533
5,70000;0,19;1930,89;0,00011;73,97;0,00542
5,80000;0,19;1969,39;-0,00005;75,44;0,00552
5,90000;0,20;2003,66;0,00013;76,75;0,00562
6,00000;0,20;2027,75;-0,00004;77,68;0,00571
6,10000;0,20;2058,06;0,00014;78,84;0,00581
6,20000;0,21;2093,92;-0,00002;80,21;0,00591
6,30000;0,21;2131,46;0,00010;81,65;0,00600
6,40000;0,21;2157,72;0,00002;82,66;0,00610
