Maximum Load;16,67;kN
Extension at Maximum Load;1,94;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);52325,69;MPa
Tensile strain at Maximum Load;1,362;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,01362;mm/mm
Tensile stress at Break (Standard);650,00463;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;9,90;0,00001;0,39;0,00000
0,10000;0,00;9,78;0,00001;0,38;0,00000
0,20000;0,00;14,87;0,00001;0,58;0,00002
0,30000;0,01;55,06;0,00001;2,15;0,00005
0,40000;0,01;99,48;0,00002;3,88;0,00008
0,50000;0,02;149,96;0,00002;5,85;0,00011
0,60000;0,02;174,48;0,00002;6,80;0,00014
0,70000;0,02;203,50;0,00001;7,94;0,00016
0,80000;0,03;238,26;0,00001;9,29;0,00019
0,90000;0,03;265,68;0,00001;10,36;0,00021
1,00000;0,03;304,70;0,00002;11,88;0,00023
1,10000;0,04;343,39;0,00001;13,39;0,00026
1,20000;0,04;364,34;0,00002;14,21;0,00028
1,30000;0,04;390,10;0,00001;15,21;0,00030
1,40000;0,05;433,44;0,00002;16,90;0,00033
1,50000;0,05;469,75;0,00001;18,32;0,00035
1,60000;0,05;485,11;0,00001;18,92;0,00037
1,70000;0,06;516,03;0,00002;20,12;0,00040
1,80000;0,06;553,60;0,00002;21,59;0,00042
1,90000;0,06;581,10;0,00002;22,66;0,00044
2,00000;0,07;616,08;0,00002;24,02;0,00047
2,10000;0,07;647,07;0,00002;25,23;0,00049
2,20000;0,07;673,56;0,00001;26,26;0,00051
2,30000;0,08;712,20;0,00002;27,77;0,00054
2,40000;0,08;756,11;0,00001;29,48;0,00056
2,50000;0,08;777,30;0,00001;30,31;0,00058
2,60000;0,09;790,21;0,00001;30,81;0,00061
2,70000;0,09;828,67;0,00001;32,31;0,00063
2,80000;0,09;869,95;0,00001;33,92;0,00065
2,90000;0,10;900,58;0,00002;35,12;0,00068
3,00000;0,10;933,06;0,00001;36,38;0,00070
3,10000;0,10;962,36;0,00002;37,53;0,00072
