Maximum Load;14,10;kN
Extension at Maximum Load;1,54;mm
Modulus (E-modulus);0,00;MPa
Modulus (Automatic Young's);55175,30;MPa
Tensile strain at Maximum Load;1,076;%
Tensile strain at Yield (Offset       0,2 %);0,00000;mm/mm
Tensile stress at Yield (Offset       0,2 %);0,00000;MPa
Tensile strain at Break (Standard);0,01076;mm/mm
Tensile stress at Break (Standard);550,00247;MPa

Time;Extension;Load;Strain 1;Tensile stress;Tensile strain
(sec);(mm);(N);(mm/mm);(MPa);(mm/mm)
0,00000;0,00;47,41;-0,00001;1,85;0,00000
0,10000;0,00;46,46;0,00000;1,81;0,00000
0,20000;0,00;47,00;0,00000;1,83;0,00001
0,30000;0,01;65,66;0,00000;2,56;0,00004
0,40000;0,01;128,22;0,00000;5,00;0,00008
0,50000;0,02;173,61;0,00000;6,77;0,00011
0,60000;0,02;207,56;0,00000;8,09;0,00014
0,70000;0,02;244,20;0,00000;9,52;0,00016
0,80000;0,03;281,05;0,00000;10,96;0,00019
0,90000;0,03;321,99;0,00000;12,56;0,00021
1,00000;0,03;353,68;0,00000;13,79;0,00023
1,10000;0,04;379,36;0,00000;14,79;0,00026
1,20000;0,04;415,38;0,00000;16,20;0,00028
1,30000;0,04;456,79;0,00000;17,81;0,00030
1,40000;0,05;482,51;0,00000;18,82;0,00033
1,50000;0,05;510,27;0,00000;19,90;0,00035
1,60000;0,05;545,24;0,00000;21,26;0,00037
1,70000;0,06;580,49;0,00000;22,64;0,00040
1,80000;0,06;611,89;0,00000;23,86;0,00042
1,90000;0,06;643,19;0,00000;25,08;0,00044
2,00000;0,07;676,91;0,00000;26,40;0,00047
2,10000;0,07;718,59;0,00000;28,02;0,00049
2,20000;0,07;756,49;0,00000;29,50;0,00051
2,30000;0,08;779,68;0,00000;30,40;0,00054
2,40000;0,08;801,65;0,00000;31,26;0,00056
2,50000;0,08;839,21;0,00000;32,72;0,00058
2,60000;0,09;881,41;0,00000;34,37;0,00060
2,70000;0,09;915,18;0,00000;35,69;0,00063
2,80000;0,09;945,23;0,00000;36,86;0,00065
2,90000;0,10;980,14;0,00000;38,22;0,00067
3,00000;0,10;1012,97;0,00000;39,50;0,00070
